"year(cout)","month(cout)","callNumber","title","Mexico","Ireland","Spain","Israel","Egypt","China","Cuba","Iraq","Japan"
2013,7,"CD FIC TAYLOR","Dublin student doctor an Irish country novel",3,9,0,0,3,7,0,0,0
2013,8,"CD FIC TAYLOR","Irish country girl",1,10,0,0,1,3,1,0,0
2013,9,"CD MYSTERY TALTY","Black Irish a novel",2,9,0,0,2,5,1,0,0
2013,10,"CD MYSTERY GILMAN","Mrs Pollifax on the China Station",2,9,0,0,0,4,2,0,0
2013,11,"CD FIC TAYLOR","Fingal Oreilly Irish doctor",1,15,0,0,3,4,1,0,0
2013,12,"CD FIC TAYLOR","Irish country wedding",2,17,0,0,0,3,2,0,0
2014,1,"CD B H969H 2013","story lately told coming of age in Ireland London and New York",3,15,0,0,2,1,1,0,0
2014,2,"CD B H969H 2013","story lately told coming of age in Ireland London and New York",1,24,0,0,1,4,1,0,0
2014,3,"CD FIC RICE","Christ the Lord out of Egypt a novel",2,16,0,0,1,1,2,0,0
2014,4,"CD B H969H 2013","story lately told coming of age in Ireland London and New York",0,16,0,0,2,1,1,0,0
2014,5,"CD B B8555S 2010","Pearl Buck in China journey to The Good Earth",1,14,0,0,2,5,3,0,0
2014,6,"CD B H969H 2013","story lately told coming of age in Ireland London and New York",2,12,0,0,1,9,1,0,0
2014,7,"CD FIC KUSHNER","Telex from Cuba",3,15,0,0,1,19,1,0,0
2014,8,"CD B H969H 2013","story lately told coming of age in Ireland London and New York",3,15,1,0,2,24,0,0,0
2014,9,"CD FIC KUSHNER","Telex from Cuba",5,13,4,0,4,18,2,0,0
2014,10,"CD FIC SEE","China dolls",1,8,2,0,1,21,2,0,0
2014,11,"CD FIC TAYLOR","Irish country wedding",3,13,1,0,2,18,0,0,0
2014,12,"CD FIC CUMMING","Spanish game",5,16,1,0,0,14,1,0,0
2015,1,"CD FIC SMITH","Desert god a novel of Ancient Egypt",3,6,1,0,5,19,1,0,0
2015,2,"CD FIC MICHENE","Mexico",3,10,2,0,3,8,0,0,0
2015,3,"CD YA MEYER","mark of the golden dragon being an account of the further adventures of Jacky Faber jewel of the East vexation of the West and pearl of the South China Sea",3,20,1,0,3,12,4,0,0
2015,4,"CD FIC TAYLOR","Wily OReilly Irish country stories",5,8,2,0,4,13,5,0,0
2015,5,"CD FIC SEE","China dolls",2,15,0,0,2,7,4,0,0
2015,6,"CD FIC TAYLOR","Dublin student doctor an Irish country novel",4,14,2,0,3,13,4,0,0
2015,7,"CD FIC KWAN","China rich girlfriend a novel",3,10,2,0,2,16,4,0,0
2015,8,"CD FIC TAYLOR","Wily OReilly Irish country stories",1,9,2,0,3,11,3,0,0
2015,9,"CD FIC KWOK","Mambo in Chinatown a novel",4,6,3,0,2,11,1,0,0
2015,10,"CD B H969H 2013","story lately told coming of age in Ireland London and New York",2,7,2,0,1,11,0,0,0
2015,11,"CD B H969H 2013","story lately told coming of age in Ireland London and New York",1,6,3,0,0,7,3,0,6
2015,12,"CD MYSTERY TALTY","Black Irish a novel",2,9,1,0,1,8,0,0,8
2016,1,"CD FIC CUMMING","Spanish game",0,8,3,0,3,10,2,0,13
2016,2,"CD FIC ALLENDE","Japanese lover a novel",1,15,0,0,0,8,1,0,12
2016,3,"CD FIC SEE","China dolls",3,10,3,0,2,11,2,0,11
2016,4,"CD FIC TAYLOR","Irish country wedding",0,9,1,0,0,6,1,0,7
2016,5,"CD FIC TAYLOR","Fingal OReilly Irish doctor",1,9,1,0,0,8,0,0,10
2016,6,"CD FIC TAYLOR","Irish country doctor a novel",1,9,3,0,0,9,3,0,9
2016,7,"CD FIC ALLENDE","Japanese lover a novel",2,11,1,0,0,7,2,0,11
2016,8,"CD B B8555S 2010","Pearl Buck in China journey to The Good Earth",2,6,2,0,0,8,2,0,10
2016,9,"CD FIC ALLENDE","Japanese lover a novel",0,7,1,0,1,4,0,0,6
2016,10,"CD YA ENGLE","Tropical secrets Holocaust refugees in Cuba",1,5,2,0,0,7,2,0,8
2016,11,"CD FIC BUCK","Peony a novel of China",0,5,0,0,0,6,2,0,5
2016,12,"CD FIC TAYLOR","Irish country wedding",3,5,3,0,2,3,0,0,8
