"year(cout)","month(cout)","callNumber","title","Mexico","Ireland","Spain","Israel","Egypt","China","Cuba","Iraq","Japan"
2013,4,"MYSTERY DRAKE 2011","Egypt the book of chaos",2,31,3,0,4,34,0,0,0
2013,5,"MYSTERY TREMAYN","Our lady of darkness a a novel of ancient Ireland",2,27,2,0,0,32,0,0,1
2013,6,"MYSTERY MAY2009","Chinese whispers",1,41,4,0,4,26,0,0,0
2013,7,"MYSTERY TALTY 2013","Black Irish a novel",0,36,2,0,0,44,0,0,0
2013,8,"MYSTERY MCGARRI","Mexican hat",4,45,2,0,3,35,0,0,0
2013,9,"MYSTERY TREMAYN 2013","seventh trumpet a mystery of Ancient Ireland",2,32,3,0,3,31,0,0,8
2013,10,"MYSTERY CRUMLEY2001","Mexican tree duck",1,33,2,0,2,29,0,0,8
2013,11,"MYSTERY TREMAYN 2013","seventh trumpet a mystery of Ancient Ireland",0,27,2,0,3,26,0,0,12
2013,12,"MYSTERY LANCET 2013","Japantown a thriller",1,14,1,0,3,25,0,0,13
2014,1,"MYSTERY DARRELL2006","Chinese puzzle",0,18,0,0,3,30,0,0,8
2014,2,"MYSTERY CHURCH 2012","drop of Chinese blood",1,24,2,0,1,22,0,0,6
2014,3,"MYSTERY ALBERT2007","Spanish dagger",1,42,1,0,4,20,0,0,4
2014,4,"MYSTERY QIU 2013","Enigma of China",2,29,1,0,1,29,0,0,9
2014,5,"MYSTERY ALBERT 1995","Hangmans root a China Bayles mystery",2,29,0,0,0,27,0,0,5
2014,6,"MYSTERY THOMPSO2007","Murder in Chinatown",1,24,2,0,1,33,0,0,1
2014,7,"MYSTERY LANCET 2013","Japantown a thriller",0,33,1,0,5,25,0,0,2
2014,8,"MYSTERY TREMAYN 2013","seventh trumpet a mystery of Ancient Ireland",0,56,0,0,0,30,0,0,5
2014,9,"MYSTERY SHANNON 2014","Chinese Beverly Hills",2,23,0,0,1,26,0,0,3
2014,10,"MYSTERY GREELEY","Irish love",1,27,0,0,0,31,0,0,4
2014,11,"MYSTERY QIU 2013","Enigma of China",0,27,0,0,0,21,0,0,3
2014,12,"MYSTERY QIU 2013","Enigma of China",1,15,0,0,0,22,0,0,3
2015,1,"MYSTERY CHURCH 2012","drop of Chinese blood",1,21,0,0,2,21,0,0,6
2015,2,"MYSTERY GLAUSER2007","Chinaman",0,20,0,0,0,16,0,0,5
2015,3,"MYSTERY GILMAN 1984","Mrs Pollifax on the China station",1,31,0,0,6,22,8,0,11
2015,4,"MYSTERY WHITE 2015","Cuba Straits",1,22,0,0,4,15,13,0,15
2015,5,"MYSTERY MURTHY 2015","Sherlock Holmes the missing years Japan",0,17,0,0,5,29,11,0,14
2015,6,"MYSTERY MURTHY 2015","Sherlock Holmes the missing years Japan",1,15,0,0,3,29,18,0,10
2015,7,"MYSTERY WHITE 2015","Cuba Straits",4,18,2,0,1,17,11,0,7
2015,8,"MYSTERY TALTY 2013","Black Irish a novel",1,21,2,0,1,18,9,0,4
2015,9,"MYSTERY ALBERT 1995","Hangmans root a China Bayles mystery",3,23,1,0,4,12,9,0,5
2015,10,"MYSTERY TREMAYN 2015","devils seal a mystery of ancient Ireland",2,24,1,0,6,14,6,0,5
2015,11,"MYSTERY TREMAYN 2011","chalice of blood a mystery of ancient Ireland",1,28,0,0,1,12,7,0,6
2015,12,"MYSTERY TREMAYN 2014","Atonement of blood a mystery of ancient Ireland",0,13,0,0,1,17,2,0,1
2016,1,"MYSTERY SHANNON 2014","Chinese Beverly Hills",1,10,0,0,1,17,4,0,3
2016,2,"MYSTERY GILMAN 1984","Mrs Pollifax on the China station",0,15,1,0,2,10,8,0,3
2016,3,"MYSTERY MURTHY 2015","Sherlock Holmes the missing years Japan",0,24,0,0,1,9,4,0,6
2016,4,"MYSTERY GLAUSER2007","Chinaman",1,18,1,0,1,15,5,0,2
2016,5,"MYSTERY LANCET 2013","Japantown a thriller",0,24,0,0,2,16,5,0,3
2016,6,"MYSTERY WHITE 2015","Cuba Straits",2,21,0,0,1,14,4,0,5
2016,7,"MYSTERY MEXICO2010","Mexico City noir",2,23,0,0,1,24,2,0,4
2016,8,"MYSTERY TREMAYN 2015","devils seal a mystery of ancient Ireland",2,16,1,0,9,19,3,0,5
2016,9,"MYSTERY MILLER 2016","Red dog a Slim in Little Egypt mystery",1,15,1,0,11,21,3,0,4
2016,10,"MYSTERY TREMAYN 2015","devils seal a mystery of ancient Ireland",1,13,0,0,10,13,2,0,7
2016,11,"MYSTERY TREMAYN 2013","seventh trumpet a mystery of Ancient Ireland",4,10,0,0,13,13,3,0,1
2016,12,"MYSTERY PIM","hive of suspects an Irish village mystery",2,13,0,0,4,9,2,0,8
