"year(cout)","month(cout)","callNumber","title","Mexico","Ireland","Spain","Israel","Egypt","China","Cuba","Iraq","Japan"
2014,1,"E RAUCHWE","Dinosaur goes to Israel",2,5,27,5,11,163,2,0,8
2014,2,"E IIJIMA","way we do it in Japan",1,4,27,4,12,105,1,0,8
2014,3,"E COMPEST","runaway wok a Chinese New Year tale",1,9,28,5,8,73,0,0,4
2014,4,"E YAMASAK","Fish for Jimmy inspired by one familys experience in a Japanese American internment camp",1,1,18,2,11,50,2,0,5
2014,5,"E CHIN","year of the snake tales from the Chinese zodiac",1,6,25,4,10,46,0,0,6
2014,6,"E PAUL","Count on Culebra go from 1 to 10 in Spanish",2,5,21,5,7,75,0,0,2
2014,7,"E KREBS","Were sailing down the Nile a journey through Egypt",1,3,24,2,7,75,1,0,2
2014,8,"E MAYHEW","Katie and the Spanish princess",1,2,29,1,7,56,1,0,5
2014,9,"E RAUCHWE","Dinosaur goes to Israel",2,2,19,6,4,50,0,0,2
2014,10,"E SELLIER","Legend of the Chinese dragon",2,4,19,1,6,66,1,0,6
2014,11,"E LOOK","Uncle Peters amazing Chinese wedding",1,3,19,4,6,62,0,0,5
2014,12,"E CRANE","D is for dancing dragon a China alphabet",2,2,9,3,6,68,2,0,4
2015,1,"E GOWER","Long Longs New Year a story about the Chinese Spring Festival",3,2,18,4,6,102,0,0,10
2015,2,"E PAUL","Count on Culebra go from 1 to 10 in Spanish",1,3,24,4,3,125,0,0,4
2015,3,"E YOUNG","Beyond the great mountains a visual poem about china",1,3,21,2,2,69,0,0,9
2015,4,"E SELLIER","Legend of the Chinese dragon",1,5,19,4,5,49,2,0,3
2015,5,"E LOOK","Uncle Peters amazing Chinese wedding",1,3,24,5,3,60,1,0,3
2015,6,"E SELLIER","Legend of the Chinese dragon",2,6,20,3,5,44,0,0,3
2015,7,"E MAYHEW","Katie and the Spanish princess",1,2,28,3,1,30,0,0,5
2015,8,"E MAYHEW","Katie and the Spanish princess",0,3,16,3,2,53,1,0,3
2015,9,"E RAUCHWE","Dinosaur goes to Israel",1,2,18,2,5,36,1,0,7
2015,10,"E RAUCHWE","Dinosaur goes to Israel",0,4,23,3,2,37,0,0,3
2015,11,"E GEESLIN","In Rosas Mexico",2,2,16,1,2,50,0,0,6
2015,12,"E CRANE","D is for dancing dragon a China alphabet",0,1,9,2,1,38,0,0,2
2016,1,"E CHIN","year of the snake tales from the Chinese zodiac",1,3,18,4,0,115,1,0,7
2016,2,"E CHIN","year of the ox tales from the Chinese zodiac",1,5,13,4,2,88,1,0,6
2016,3,"E MAYHEW","Katie and the Spanish princess",1,4,20,4,1,43,0,0,4
2016,4,"E KULLING","Lumpito and the painter from Spain",1,1,15,2,2,44,1,0,4
2016,5,"E YAMASAK","Fish for Jimmy inspired by one familys experience in a Japanese American internment camp",1,5,13,7,3,45,1,0,6
2016,6,"E ANNO","Annos Spain",1,3,19,4,2,39,1,0,4
2016,7,"E KULLING","Lumpito and the painter from Spain",0,5,19,2,2,47,0,0,3
2016,8,"E WHELAN","Megans year an Irish Travelers story",0,3,17,4,6,34,0,0,2
2016,9,"E SELLIER","Legend of the Chinese dragon",1,3,9,1,3,33,0,0,1
2016,10,"E SELLIER","Legend of the Chinese dragon",1,6,23,2,1,44,1,0,1
2016,11,"E MORALES","Just in case a trickster tale and Spanish alphabet book",0,4,14,3,1,35,0,0,6
2016,12,"E RAUCHWE","Dinosaur goes to Israel",0,2,8,1,1,64,0,0,3
