"year(cout)","month(cout)","callNumber","title","Mexico","Ireland","Spain","Israel","Egypt","China","Cuba","Iraq","Japan"
2011,8,"B B8555S 2010","Pearl Buck in China journey to the good earth",2,0,6,1,4,23,2,0,5
2011,9,"B T2121AL","To school through the fields an Irish country childhood",0,4,1,1,2,15,0,1,3
2011,10,"B W6746","O come ye back to Ireland our first year in County Clare",1,4,4,4,3,17,4,1,4
2011,11,"B T189C 2002","Cuba diaries an American housewife in Havana",3,2,3,0,0,15,3,1,3
2011,12,"B M2677","Falling leaves the true story of an unwanted Chinese daughter",2,1,1,3,0,26,1,1,3
2012,1,"B M2677","Falling leaves the true story of an unwanted Chinese daughter",0,3,2,2,1,16,1,1,2
2012,2,"B P2756B 2008","Irelands saint the essential biography of St Patrick",1,7,2,1,2,26,0,0,3
2012,3,"B B8555S 2010","Pearl Buck in China journey to the good earth",2,5,5,1,1,31,1,0,2
2012,4,"B M1993","Turn left at the black cow one familys journey from Beverly Hills to Ireland",2,7,0,2,4,10,2,0,6
2012,5,"B J853Pi","James Joyces Ireland",1,4,3,0,1,26,0,0,3
2012,6,"B D6327K 2008","Benjamin Disraeli",0,0,3,2,2,21,0,1,3
2012,7,"B K5289K 2008","Memories of life in Lhasa under Chinese rule",7,2,0,2,2,23,0,0,2
2012,8,"B Su71R","Sun Yat Sen liberator of China",4,4,1,6,2,23,0,2,3
2012,9,"B Se31S 1996","On Gold Mountain the one hundred year odyssey of my Chinese American family",5,3,2,1,5,23,0,0,1
2012,10,"B B8555S 2010","Pearl Buck in China journey to the good earth",3,3,4,0,0,19,1,2,1
2012,11,"B Sco92","Chinese ginger jars",6,2,1,2,1,24,1,0,2
2012,12,"B P964P","puppet emperor the life of Pu Yi last emperor of China",2,1,2,3,5,13,1,0,2
2013,1,"B H6151B 2000","Hirohito and the making of modern Japan",8,4,0,3,4,28,5,0,2
2013,2,"B Se31S 1996","On Gold Mountain the one hundred year odyssey of my Chinese American family",4,1,1,1,1,17,6,0,4
2013,3,"B K619K 2005","woman warrior China men",2,4,0,2,4,20,2,0,4
2013,4,"B W85071W 2012","When we were the Kennedys a memoir from Mexico Maine",5,2,0,0,1,21,0,1,1
2013,5,"B W85071W 2012","When we were the Kennedys a memoir from Mexico Maine",3,2,1,2,0,18,0,1,0
2013,6,"B Se31S 1996","On Gold Mountain the one hundred year odyssey of my Chinese American family",6,4,0,1,1,16,2,0,2
2013,7,"B D6327K 2008","Benjamin Disraeli",3,4,6,1,1,16,6,1,4
2013,8,"B W85071W 2012","When we were the Kennedys a memoir from Mexico Maine",7,0,0,4,2,16,4,0,3
2013,9,"B B8555S 2010","Pearl Buck in China journey to the good earth",1,2,2,0,1,17,7,0,2
2013,10,"B D873","passage to Egypt the life of Lucie Duff Gordon",3,3,2,2,3,11,5,1,1
2013,11,"B W85071W 2012","When we were the Kennedys a memoir from Mexico Maine",5,10,1,3,0,31,2,0,0
2013,12,"B B945G 2013","stray bullet William S Burroughs in Mexico",8,17,1,1,2,27,1,0,2
2014,1,"B C4999C 2013","Empress Dowager Cixi the concubine who launched modern China",5,39,3,0,1,28,5,1,0
2014,2,"B H969H 2013","story lately told coming of age in Ireland London and New York",4,31,1,1,0,28,1,0,1
2014,3,"B C4999C 2013","Empress Dowager Cixi the concubine who launched modern China",3,38,5,3,1,29,1,1,1
2014,4,"B D632W","Disraeli a biography",2,33,0,5,0,30,3,3,1
2014,5,"B F296A 2014","Faisal I of Iraq",0,30,2,3,1,22,1,3,2
2014,6,"B K619K 2005","woman warrior China men",13,20,2,4,2,26,3,2,3
2014,7,"B H969H 2013","story lately told coming of age in Ireland London and New York",12,24,3,1,3,25,3,1,1
2014,8,"B B8555S 2010","Pearl Buck in China journey to the good earth",20,16,1,1,1,24,1,0,2
2014,9,"B T189C 2002","Cuba diaries an American housewife in Havana",10,19,1,4,2,14,4,0,2
2014,10,"B B4521C 2014","Berenice II and the golden age of Ptolemaic Egypt",8,13,2,0,1,16,4,0,5
2014,11,"B C4999C 2013","Empress Dowager Cixi the concubine who launched modern China",18,24,1,2,2,19,3,0,2
2014,12,"B H6151B 2000","Hirohito and the making of modern Japan",5,16,5,4,0,11,1,1,2
2015,1,"B Is141B","little queen Isabella II of Spain",7,14,3,5,2,24,2,0,3
2015,2,"B H969H 2013","story lately told coming of age in Ireland London and New York",4,6,2,8,1,14,2,0,0
2015,3,"B Se31S 1996","On Gold Mountain the one hundred year odyssey of my Chinese American family",4,18,4,9,2,14,3,0,0
2015,4,"B H969H 2013","story lately told coming of age in Ireland London and New York",2,12,5,14,0,19,1,0,5
2015,5,"B D6327H 2015","Mr and Mrs Disraeli a strange romance",3,12,4,3,1,19,1,2,8
2015,6,"B H373C 1997","Hemingway in Cuba",3,11,1,6,3,11,3,0,4
2015,7,"B Sa555S 2013","One day in December Celia SÃ‚Â nchez and the Cuban Revolution",1,9,1,7,1,21,6,0,4
2015,8,"B D6327H 2015","Mr and Mrs Disraeli a strange romance",6,5,1,14,3,15,2,0,6
2015,9,"B Ot6P 2015","Peter OToole hellraiser sexual outlaw Irish rebel",3,9,3,10,2,12,4,1,6
2015,10,"B Se31S 2012","On Gold Mountain the one hundred year odyssey of my Chinese American family",8,8,2,12,1,15,2,0,3
2015,11,"B D6327H 2015","Mr and Mrs Disraeli a strange romance",7,4,2,9,0,12,5,0,1
2015,12,"B W85071W 2012","When we were the Kennedys a memoir from Mexico Maine",9,7,1,10,2,9,1,1,2
2016,1,"B D6327H 2015","Mr and Mrs Disraeli a strange romance",6,2,1,12,5,17,4,1,2
2016,2,"B C4999C 2013","Empress Dowager Cixi the concubine who launched modern China",1,5,2,5,1,18,2,0,2
2016,3,"B F214F 2016","most wanted man in China my journey from scientist to enemy of the state",6,7,1,4,0,23,3,0,1
2016,4,"B D632W","Disraeli a biography",2,3,2,5,0,14,6,0,4
2016,5,"B C594T 2008","Cleopatra last queen of Egypt",3,8,0,6,5,9,1,0,1
2016,6,"B F214F 2016","most wanted man in China my journey from scientist to enemy of the state",2,4,0,4,1,14,0,1,3
2016,7,"B K1798B 2015","Manchu princess Japanese spy the story of Kawashima Yoshiko the cross dressing spy who commanded her own Army",1,9,2,4,2,10,1,0,4
2016,8,"B H373H 2003","Hemingway in Cuba",4,5,1,2,0,13,6,0,2
2016,9,"B C4999C 2013","Empress Dowager Cixi the concubine who launched modern China",2,4,1,4,0,14,2,0,1
2016,10,"B C4999C 2013","Empress Dowager Cixi the concubine who launched modern China",2,4,4,1,1,11,3,0,4
2016,11,"B D543B","Porfirio Diaz dictator of Mexico",4,8,1,1,1,8,5,0,5
2016,12,"B Ot6P 2015","Peter OToole hellraiser sexual outlaw Irish rebel",2,5,0,1,0,8,4,0,2
