cin,cout,title,deweyClass
"2007-12-31 12:22:00","2007-11-17 17:56:00","Artificial intelligence a modern approach",006.3
"2008-01-17 10:59:00","2007-12-14 13:26:00","Prolog programming for artificial intelligence",006.30285
"2008-02-06 11:09:00","2008-01-18 16:49:00","Prolog programming for artificial intelligence",006.30285
"2008-03-07 11:32:00","2008-01-18 16:49:00","Prolog programming for artificial intelligence",006.30285
"2008-03-13 11:44:00","2008-01-12 10:09:00","Artificial intelligence a modern approach",006.3
"2008-03-27 11:16:00","2007-10-08 14:56:00","AI the tumultuous history of the search for artificial intelligence",006.309
"2008-03-28 14:25:00","2007-08-02 13:06:00","Mind tools the science of artificial intelligence",006.3
"2008-03-28 14:25:00","2007-10-08 14:56:00","AI the tumultuous history of the search for artificial intelligence",006.309
"2008-03-28 14:26:00","2007-07-10 16:16:00","Mind language machine artificial intelligence in the poststructuralist age",006.3
"2008-04-02 17:58:00","2008-03-28 17:39:00","Mind tools the science of artificial intelligence",006.3
"2008-04-02 17:58:00","2008-03-28 17:39:00","Innovative applications of artificial intelligence 4 proceedings of the IAAI 92 Conference",006.3
"2008-04-02 18:25:00","2008-03-13 16:50:00","Artificial intelligence a modern approach",006.3
"2008-04-05 16:27:00","2008-03-28 17:38:00","Mind language machine artificial intelligence in the poststructuralist age",006.3
"2008-04-05 16:27:00","2008-03-28 17:38:00","AI the tumultuous history of the search for artificial intelligence",006.309
"2008-04-05 16:57:00","2008-03-13 16:50:00","Artificial intelligence a modern approach",006.3
"2008-04-08 15:11:00","2008-04-08 15:02:00","Machines who think a personal inquiry into the history and prospects of artificial intelligence",001.53909
"2008-04-08 15:11:00","2008-04-08 15:02:00","cognitive computer on language learning and artificial intelligence",006.35
"2008-04-08 22:47:00","2008-03-28 17:38:00","AI the tumultuous history of the search for artificial intelligence",006.309
"2008-04-16 19:26:00","2008-04-10 18:33:00","AI the tumultuous history of the search for artificial intelligence",006.309
"2008-04-19 15:41:00","2008-03-10 17:58:00","Prolog programming for artificial intelligence",006.30285
