cin,cout,title,deweyClass
"2009-01-09 13:03:00","2008-09-04 18:46:00","Python essential reference",005.133
"2009-01-09 15:38:00","2008-08-04 12:32:00","Python power the comprehensive guide",005.133
"2009-01-10 16:07:00","2008-11-24 19:01:00","Python power the comprehensive guide",005.133
"2009-01-10 16:42:00","2008-11-28 16:23:00","Learning Python",005.133
"2009-01-12 11:07:00","2008-12-16 17:50:00","Learning Python",005.133
"2009-01-12 13:40:00","2008-11-28 16:23:00","Learning Python",005.133
"2009-01-12 14:30:00","2008-12-16 17:50:00","Python in a nutshell",005.133
"2009-01-14 13:31:00","2008-12-06 17:42:00","Python power the comprehensive guide",005.133
"2009-01-14 14:27:00","2009-01-08 11:13:00","Python power the comprehensive guide",005.133
"2009-01-15 12:38:00","2008-12-06 17:42:00","Python power the comprehensive guide",005.133
"2009-01-21 15:41:00","2009-01-14 13:38:00","Python essential reference",005.133
"2009-01-22 10:16:00","2008-12-26 12:10:00","Python in a nutshell",005.133
"2009-01-22 10:16:00","2008-12-30 17:06:00","Learning Python",005.133
"2009-01-23 10:35:00","2008-12-26 12:10:00","Python in a nutshell",005.133
"2009-01-23 10:40:00","2008-12-30 17:06:00","Learning Python",005.133
"2009-01-24 11:17:00","2008-12-16 17:50:00","Python in a nutshell",005.133
"2009-01-24 17:12:00","2009-01-03 16:38:00","Learning Python",005.133
"2009-01-25 13:40:00","2009-01-07 14:47:00","Learning Python",005.133
"2009-01-26 15:26:00","2008-12-16 17:50:00","Python in a nutshell",005.133
"2009-01-27 10:47:00","2009-01-03 16:38:00","Learning Python",005.133
"2009-01-27 22:04:00","2009-01-07 14:47:00","Learning Python",005.133
"2009-01-28 10:45:00","2009-01-07 14:47:00","Learning Python",005.133
