cin,cout,title,deweyClass
"2008-10-15 10:55:00","2008-09-04 19:51:00","Learning the UNIX operating system",005.432
"2008-11-10 19:23:00","2008-10-20 14:51:00","Learning the UNIX operating system",005.432
"2008-11-16 15:05:00","2008-11-04 16:35:00","Learning the UNIX operating system",005.43
"2008-11-29 16:51:00","2008-10-03 15:54:00","Starting FORTH an introduction to the FORTH language and operating system for beginners and professionals",005.133
"2009-01-20 13:31:00","2008-11-04 16:35:00","Learning the UNIX operating system",005.43
"2009-01-31 00:00:00","2008-11-26 13:32:00","Learning the UNIX operating system",005.432
"2009-03-03 12:16:00","2008-08-22 16:50:00","IT essentials II Network operating system companion guide",004.6
"2009-03-12 17:45:00","2009-03-02 19:40:00","UNIX for people a modular guide to the UNIX operating system visual editing document preparation other resources",001.642
"2009-03-31 12:24:00","2009-03-31 09:33:00","IT essentials II Network operating system companion guide",004.6
"2009-04-05 16:21:00","2009-01-22 11:49:00","Learning the UNIX operating system",005.43
"2009-04-23 12:33:00","2009-03-30 13:20:00","Programmers reference Microsoft Open Database Connectivity software development kit version 2 0 for Microsoft Windows and Windows NT operating systems",005.369
"2009-04-27 13:24:00","2009-04-17 17:19:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-04-28 15:06:00","2009-04-17 17:19:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-04-29 22:11:00","2009-04-22 16:22:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-05-01 14:40:00","2009-04-22 16:22:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-05-08 14:51:00","2009-03-06 14:59:00","IT essentials II Network operating system companion guide",004.6
"2009-05-08 17:39:00","2009-04-17 15:58:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-05-10 17:02:00","2009-04-17 15:58:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-05-12 14:45:00","2009-04-17 15:58:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-05-18 17:11:00","2009-05-01 15:02:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-05-24 13:47:00","2009-04-17 15:58:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2009-05-26 17:03:00","2009-05-05 19:08:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
