Date,Hour,TotalCheckouts
2010-01-01,15,1
2010-01-02,9,28
2010-01-02,10,2145
2010-01-02,11,3447
2010-01-02,12,4320
2010-01-02,13,4541
2010-01-02,14,4551
2010-01-02,15,4868
2010-01-02,16,4536
2010-01-02,17,3852
2010-01-02,21,4
2010-01-02,23,1
2010-01-03,8,3
2010-01-03,9,1
2010-01-03,10,2
2010-01-03,11,21
2010-01-03,12,2054
2010-01-03,13,2683
2010-01-03,14,2804
2010-01-03,15,3439
2010-01-03,16,3119
2010-01-03,17,336
2010-01-03,20,1
2010-01-04,6,1
2010-01-04,8,173
2010-01-04,9,151
2010-01-04,10,279
2010-01-04,11,484
2010-01-04,12,891
2010-01-04,13,3076
2010-01-04,14,3597
2010-01-04,15,3791
2010-01-04,16,4811
2010-01-04,17,4259
2010-01-04,18,2952
2010-01-04,19,2806
2010-01-04,20,9
2010-01-05,6,4
2010-01-05,7,37
2010-01-05,8,70
2010-01-05,9,153
2010-01-05,10,538
2010-01-05,11,362
2010-01-05,12,564
2010-01-05,13,3835
2010-01-05,14,3991
2010-01-05,15,4161
2010-01-05,16,4723
2010-01-05,17,4314
2010-01-05,18,3265
2010-01-05,19,2819
2010-01-05,20,49
2010-01-05,23,4
2010-01-06,8,30
2010-01-06,9,24
2010-01-06,10,1972
2010-01-06,11,2808
2010-01-06,12,2998
2010-01-06,13,3159
2010-01-06,14,3097
2010-01-06,15,3730
2010-01-06,16,4231
2010-01-06,17,4501
2010-01-06,18,3455
2010-01-06,19,2839
2010-01-06,20,14
2010-01-06,23,3
2010-01-07,6,1
2010-01-07,8,52
2010-01-07,9,164
2010-01-07,10,1640
2010-01-07,11,2344
2010-01-07,12,2304
2010-01-07,13,2487
2010-01-07,14,2749
2010-01-07,15,3281
2010-01-07,16,4008
2010-01-07,17,3339
2010-01-07,18,2465
2010-01-07,19,2511
2010-01-07,20,17
2010-01-07,22,5
2010-01-07,23,1
2010-01-08,8,20
2010-01-08,9,87
2010-01-08,10,1649
2010-01-08,11,2003
2010-01-08,12,2459
2010-01-08,13,2713
2010-01-08,14,3089
2010-01-08,15,3640
2010-01-08,16,4295
2010-01-08,17,4145
2010-01-08,18,55
2010-01-08,23,1
2010-01-09,9,13
2010-01-09,10,2035
2010-01-09,11,2912
2010-01-09,12,3819
2010-01-09,13,4201
2010-01-09,14,4661
2010-01-09,15,4631
2010-01-09,16,4869
2010-01-09,17,4201
2010-01-09,18,66
2010-01-09,22,2
2010-01-09,23,1
2010-01-10,9,6
2010-01-10,10,4
2010-01-10,11,15
2010-01-10,12,1923
2010-01-10,13,2623
2010-01-10,14,3076
2010-01-10,15,3025
2010-01-10,16,3756
2010-01-10,17,372
2010-01-10,18,13
2010-01-10,20,3
2010-01-11,7,4
2010-01-11,8,34
2010-01-11,9,86
2010-01-11,10,272
2010-01-11,11,396
2010-01-11,12,549
2010-01-11,13,2839
2010-01-11,14,3218
2010-01-11,15,4219
2010-01-11,16,4621
2010-01-11,17,4002
2010-01-11,18,3308
2010-01-11,19,2994
2010-01-11,20,33
2010-01-11,23,4
2010-01-12,1,2
2010-01-12,5,4
2010-01-12,6,4
2010-01-12,8,108
2010-01-12,9,233
2010-01-12,10,471
2010-01-12,11,404
2010-01-12,12,574
2010-01-12,13,3770
2010-01-12,14,3638
2010-01-12,15,4127
2010-01-12,16,4560
2010-01-12,17,4186
2010-01-12,18,3232
2010-01-12,19,3018
2010-01-12,20,58
2010-01-12,23,11
2010-01-13,7,3
2010-01-13,8,143
2010-01-13,9,107
2010-01-13,10,1799
2010-01-13,11,2841
2010-01-13,12,3007
2010-01-13,13,3313
2010-01-13,14,3114
2010-01-13,15,3742
2010-01-13,16,3801
2010-01-13,17,3428
2010-01-13,18,2780
2010-01-13,19,2722
2010-01-13,20,30
2010-01-13,23,8
2010-01-14,7,3
2010-01-14,8,17
2010-01-14,9,56
2010-01-14,10,1632
2010-01-14,11,2415
2010-01-14,12,2318
2010-01-14,13,2534
2010-01-14,14,2953
2010-01-14,15,3271
2010-01-14,16,3672
2010-01-14,17,3147
2010-01-14,18,2971
2010-01-14,19,2289
2010-01-14,20,12
2010-01-14,22,1
2010-01-14,23,1
2010-01-15,8,29
2010-01-15,9,73
2010-01-15,10,1606
2010-01-15,11,2065
2010-01-15,12,2609
2010-01-15,13,2830
2010-01-15,14,3084
2010-01-15,15,3824
2010-01-15,16,4064
2010-01-15,17,4700
2010-01-15,18,82
2010-01-15,19,1
2010-01-15,23,1
2010-01-16,8,1
2010-01-16,9,9
2010-01-16,10,1963
2010-01-16,11,3256
2010-01-16,12,4131
2010-01-16,13,4288
2010-01-16,14,4404
2010-01-16,15,4946
2010-01-16,16,4807
2010-01-16,17,4238
2010-01-16,18,26
2010-01-16,20,1
2010-01-17,9,4
2010-01-17,10,2
2010-01-17,11,7
2010-01-17,12,2122
2010-01-17,13,2705
2010-01-17,14,3039
2010-01-17,15,3050
2010-01-17,16,4025
2010-01-17,17,418
2010-01-18,11,2
2010-01-19,7,16
2010-01-19,8,81
2010-01-19,9,63
2010-01-19,10,415
2010-01-19,11,474
2010-01-19,12,627
2010-01-19,13,3996
2010-01-19,14,4229
2010-01-19,15,4677
2010-01-19,16,5114
2010-01-19,17,4864
2010-01-19,18,3600
2010-01-19,19,2988
2010-01-19,20,52
2010-01-20,7,5
2010-01-20,8,361
2010-01-20,9,119
2010-01-20,10,1902
2010-01-20,11,2658
2010-01-20,12,2363
2010-01-20,13,2804
2010-01-20,14,3278
2010-01-20,15,3527
2010-01-20,16,3873
2010-01-20,17,3770
2010-01-20,18,2982
2010-01-20,19,2312
2010-01-20,20,26
2010-01-21,7,49
2010-01-21,8,451
2010-01-21,9,60
2010-01-21,10,1592
2010-01-21,11,2284
2010-01-21,12,2340
2010-01-21,13,2461
2010-01-21,14,2613
2010-01-21,15,3072
2010-01-21,16,3810
2010-01-21,17,3395
2010-01-21,18,2611
2010-01-21,19,2238
2010-01-21,20,20
2010-01-21,23,6
2010-01-22,7,3
2010-01-22,8,135
2010-01-22,9,56
2010-01-22,10,1422
2010-01-22,11,1961
2010-01-22,12,2359
2010-01-22,13,2750
2010-01-22,14,3037
2010-01-22,15,3560
2010-01-22,16,3737
2010-01-22,17,4580
2010-01-22,18,95
2010-01-22,22,5
2010-01-22,23,1
2010-01-23,8,4
2010-01-23,9,10
2010-01-23,10,1623
2010-01-23,11,3117
2010-01-23,12,3469
2010-01-23,13,4039
2010-01-23,14,4074
2010-01-23,15,4667
2010-01-23,16,4726
2010-01-23,17,4116
2010-01-23,18,59
2010-01-23,23,1
2010-01-24,8,1
2010-01-24,10,1
2010-01-24,11,13
2010-01-24,12,1718
2010-01-24,13,2883
2010-01-24,14,2792
2010-01-24,15,2923
2010-01-24,16,3292
2010-01-24,17,470
2010-01-24,18,5
2010-01-24,21,3
2010-01-24,22,4
2010-01-25,8,259
2010-01-25,9,235
2010-01-25,10,422
2010-01-25,11,533
2010-01-25,12,645
2010-01-25,13,3243
2010-01-25,14,3760
2010-01-25,15,4056
2010-01-25,16,4526
2010-01-25,17,4363
2010-01-25,18,3155
2010-01-25,19,3235
2010-01-25,20,13
2010-01-26,8,247
2010-01-26,9,187
2010-01-26,10,500
2010-01-26,11,488
2010-01-26,12,510
2010-01-26,13,3314
2010-01-26,14,3471
2010-01-26,15,3905
2010-01-26,16,4578
2010-01-26,17,4449
2010-01-26,18,3160
2010-01-26,19,2949
2010-01-26,20,25
2010-01-26,23,5
2010-01-27,8,132
2010-01-27,9,24
2010-01-27,10,1970
2010-01-27,11,3080
2010-01-27,12,2853
2010-01-27,13,2992
2010-01-27,14,3289
2010-01-27,15,3649
2010-01-27,16,4185
2010-01-27,17,4155
2010-01-27,18,2758
2010-01-27,19,2512
2010-01-27,20,58
2010-01-27,23,7
2010-01-28,8,253
2010-01-28,9,118
2010-01-28,10,2148
2010-01-28,11,2825
2010-01-28,12,2867
2010-01-28,13,3055
2010-01-28,14,3092
2010-01-28,15,3541
2010-01-28,16,4054
2010-01-28,17,4109
2010-01-28,18,3026
2010-01-28,19,2647
2010-01-28,20,55
2010-01-28,22,2
2010-01-29,7,69
2010-01-29,8,32
2010-01-29,9,27
2010-01-29,10,2199
2010-01-29,11,2501
2010-01-29,12,2995
2010-01-29,13,3319
2010-01-29,14,3216
2010-01-29,15,3615
2010-01-29,16,4484
2010-01-29,17,4561
2010-01-29,18,53
2010-01-29,23,2
2010-01-30,9,15
2010-01-30,10,2177
2010-01-30,11,3405
2010-01-30,12,3761
2010-01-30,13,4084
2010-01-30,14,4670
2010-01-30,15,4670
