Date,Hour,TotalCheckouts
2014-01-01,13,2
2014-01-02,8,74
2014-01-02,9,41
2014-01-02,10,1334
2014-01-02,11,2778
2014-01-02,12,3382
2014-01-02,13,3330
2014-01-02,14,3745
2014-01-02,15,4590
2014-01-02,16,3669
2014-01-02,17,3602
2014-01-02,18,1561
2014-01-02,19,1320
2014-01-02,20,7
2014-01-02,21,5
2014-01-03,7,1
2014-01-03,8,1
2014-01-03,9,180
2014-01-03,10,1110
2014-01-03,11,1912
2014-01-03,12,2329
2014-01-03,13,2684
2014-01-03,14,2557
2014-01-03,15,2786
2014-01-03,16,2950
2014-01-03,17,2598
2014-01-03,18,35
2014-01-03,22,3
2014-01-03,23,1
2014-01-04,8,2
2014-01-04,9,11
2014-01-04,10,1403
2014-01-04,11,3477
2014-01-04,12,3951
2014-01-04,13,4481
2014-01-04,14,4467
2014-01-04,15,4305
2014-01-04,16,4177
2014-01-04,17,3492
2014-01-04,18,41
2014-01-05,9,9
2014-01-05,10,3
2014-01-05,11,101
2014-01-05,12,299
2014-01-05,13,3866
2014-01-05,14,4501
2014-01-05,15,3951
2014-01-05,16,4465
2014-01-05,17,408
2014-01-05,18,9
2014-01-06,6,1
2014-01-06,7,2
2014-01-06,8,11
2014-01-06,9,56
2014-01-06,10,1096
2014-01-06,11,2192
2014-01-06,12,2232
2014-01-06,13,2827
2014-01-06,14,3080
2014-01-06,15,3506
2014-01-06,16,4310
2014-01-06,17,3393
2014-01-06,18,2143
2014-01-06,19,1975
2014-01-06,20,10
2014-01-06,23,1
2014-01-07,7,1
2014-01-07,8,4
2014-01-07,9,8
2014-01-07,10,911
2014-01-07,11,1410
2014-01-07,12,1540
2014-01-07,13,2490
2014-01-07,14,2498
2014-01-07,15,3048
2014-01-07,16,3303
2014-01-07,17,2696
2014-01-07,18,2088
2014-01-07,19,1732
2014-01-07,20,3
2014-01-08,7,1
2014-01-08,8,20
2014-01-08,9,26
2014-01-08,10,1235
2014-01-08,11,2056
2014-01-08,12,2068
2014-01-08,13,2450
2014-01-08,14,2183
2014-01-08,15,2657
2014-01-08,16,2881
2014-01-08,17,3089
2014-01-08,18,1527
2014-01-08,19,1419
2014-01-08,20,20
2014-01-09,8,2
2014-01-09,9,36
2014-01-09,10,1334
2014-01-09,11,2176
2014-01-09,12,2686
2014-01-09,13,2352
2014-01-09,14,2517
2014-01-09,15,3193
2014-01-09,16,3501
2014-01-09,17,3204
2014-01-09,18,1618
2014-01-09,19,1364
2014-01-09,20,7
2014-01-09,23,2
2014-01-10,8,5
2014-01-10,9,45
2014-01-10,10,1321
