Date,Hour,TotalCheckouts
2011-01-02,8,9
2011-01-02,9,9
2011-01-02,10,6
2011-01-02,11,16
2011-01-02,12,248
2011-01-02,13,2964
2011-01-02,14,3652
2011-01-02,15,3153
2011-01-02,16,3391
2011-01-02,17,412
2011-01-02,18,14
2011-01-02,23,7
2011-01-03,8,159
2011-01-03,9,29
2011-01-03,10,1335
2011-01-03,11,1468
2011-01-03,12,2102
2011-01-03,13,3613
2011-01-03,14,3952
2011-01-03,15,4850
2011-01-03,16,5497
2011-01-03,17,4299
2011-01-03,18,3300
2011-01-03,19,2926
2011-01-03,20,35
2011-01-04,8,35
2011-01-04,9,279
2011-01-04,10,964
2011-01-04,11,1666
2011-01-04,12,1760
2011-01-04,13,3128
2011-01-04,14,3422
2011-01-04,15,3363
2011-01-04,16,4075
2011-01-04,17,3596
2011-01-04,18,2898
2011-01-04,19,2359
2011-01-04,20,45
2011-01-04,23,2
2011-01-05,7,1
2011-01-05,8,2
2011-01-05,9,90
2011-01-05,10,1182
2011-01-05,11,2247
2011-01-05,12,2464
2011-01-05,13,2577
2011-01-05,14,2854
2011-01-05,15,3243
2011-01-05,16,3812
2011-01-05,17,3933
2011-01-05,18,1861
2011-01-05,19,1619
2011-01-05,20,15
2011-01-06,7,5
2011-01-06,8,77
2011-01-06,9,139
2011-01-06,10,1020
2011-01-06,11,2011
2011-01-06,12,2178
2011-01-06,13,2349
2011-01-06,14,2513
2011-01-06,15,3332
2011-01-06,16,3796
2011-01-06,17,4026
2011-01-06,18,1534
2011-01-06,19,1380
2011-01-06,20,2
2011-01-06,21,4
2011-01-06,22,2
2011-01-07,7,1
2011-01-07,8,52
2011-01-07,9,28
2011-01-07,10,1238
2011-01-07,11,1804
2011-01-07,12,1691
2011-01-07,13,1906
2011-01-07,14,1996
2011-01-07,15,2605
2011-01-07,16,2879
2011-01-07,17,2688
2011-01-07,18,63
2011-01-07,20,1
2011-01-08,8,1
2011-01-08,9,12
2011-01-08,10,1113
2011-01-08,11,3917
2011-01-08,12,4737
2011-01-08,13,3965
2011-01-08,14,3980
2011-01-08,15,4215
2011-01-08,16,3719
2011-01-08,17,4232
2011-01-08,18,39
2011-01-08,23,3
2011-01-09,8,31
2011-01-09,9,1
2011-01-09,10,8
2011-01-09,11,23
2011-01-09,12,365
2011-01-09,13,2744
2011-01-09,14,2786
2011-01-09,15,2923
2011-01-09,16,3095
2011-01-09,17,398
2011-01-09,18,7
2011-01-09,22,1
2011-01-10,8,37
2011-01-10,9,204
2011-01-10,10,1047
2011-01-10,11,1375
2011-01-10,12,1927
2011-01-10,13,3308
2011-01-10,14,3558
2011-01-10,15,3847
2011-01-10,16,4190
2011-01-10,17,4315
2011-01-10,18,3012
2011-01-10,19,2551
2011-01-10,20,14
2011-01-11,8,83
2011-01-11,9,133
2011-01-11,10,1365
2011-01-11,11,1665
2011-01-11,12,1736
2011-01-11,13,3242
2011-01-11,14,3472
2011-01-11,15,4489
2011-01-11,16,4509
2011-01-11,17,4021
2011-01-11,18,2688
2011-01-11,19,2163
2011-01-11,20,20
2011-01-11,22,1
2011-01-12,6,3
2011-01-12,8,26
2011-01-12,9,216
2011-01-12,10,730
2011-01-12,11,2069
2011-01-12,12,2023
2011-01-12,13,2502
2011-01-12,14,2706
2011-01-12,15,3085
2011-01-12,16,3600
2011-01-12,17,3548
2011-01-12,18,1791
2011-01-12,19,1856
2011-01-12,20,13
2011-01-12,23,4
2011-01-13,8,189
2011-01-13,9,45
2011-01-13,10,1266
2011-01-13,11,2119
2011-01-13,12,2236
2011-01-13,13,2567
2011-01-13,14,2899
2011-01-13,15,3336
2011-01-13,16,4015
2011-01-13,17,3900
2011-01-13,18,1652
2011-01-13,19,1484
2011-01-13,20,7
2011-01-13,23,4
2011-01-14,6,2
2011-01-14,8,82
2011-01-14,9,71
2011-01-14,10,1118
2011-01-14,11,1493
2011-01-14,12,1615
2011-01-14,13,1698
2011-01-14,14,2352
2011-01-14,15,2496
2011-01-14,16,2725
2011-01-14,17,2810
2011-01-14,18,50
2011-01-15,9,8
2011-01-15,10,1193
2011-01-15,11,3920
2011-01-15,12,3991
2011-01-15,13,4495
2011-01-15,14,4675
2011-01-15,15,4719
2011-01-15,16,4221
2011-01-15,17,3995
2011-01-15,18,28
2011-01-15,23,2
2011-01-16,9,3
2011-01-16,10,7
2011-01-16,11,18
2011-01-16,12,292
2011-01-16,13,2776
2011-01-16,14,3315
2011-01-16,15,3103
2011-01-16,16,3854
2011-01-16,17,556
2011-01-16,18,1
2011-01-16,23,2
2011-01-17,15,1
2011-01-18,8,50
2011-01-18,9,139
2011-01-18,10,1409
2011-01-18,11,1958
2011-01-18,12,2392
2011-01-18,13,3794
2011-01-18,14,4215
