Date,Hour,TotalCheckouts
2008-01-01,9,1
2008-01-01,10,1
2008-01-01,16,8
2008-01-01,20,1
2008-01-02,7,60
2008-01-02,8,151
2008-01-02,9,180
2008-01-02,10,1519
2008-01-02,11,2691
2008-01-02,12,3256
2008-01-02,13,3305
2008-01-02,14,3347
2008-01-02,15,3647
2008-01-02,16,4054
2008-01-02,17,3924
2008-01-02,18,2817
2008-01-02,19,2574
2008-01-02,20,27
2008-01-02,23,4
2008-01-03,8,75
2008-01-03,9,108
2008-01-03,10,1527
2008-01-03,11,2493
2008-01-03,12,2554
2008-01-03,13,2741
2008-01-03,14,3135
2008-01-03,15,3093
2008-01-03,16,3459
2008-01-03,17,3313
2008-01-03,18,2212
2008-01-03,19,2118
2008-01-03,20,24
2008-01-03,21,1
2008-01-03,22,1
2008-01-03,23,4
2008-01-04,7,19
2008-01-04,8,8
2008-01-04,9,110
2008-01-04,10,1683
2008-01-04,11,2453
2008-01-04,12,2650
2008-01-04,14,3194
2008-01-04,15,3874
2008-01-04,16,4293
2008-01-04,17,4756
2008-01-04,18,103
2008-01-04,20,6
2008-01-04,22,20
2008-01-04,23,1
2008-01-05,8,5
2008-01-05,9,24
2008-01-05,10,1722
2008-01-05,11,3284
2008-01-05,12,3596
2008-01-05,13,3797
2008-01-05,14,3814
2008-01-05,15,4005
2008-01-05,16,4098
2008-01-05,17,3240
2008-01-05,18,59
2008-01-05,20,4
2008-01-06,8,2
2008-01-06,10,3
2008-01-06,11,5
2008-01-06,12,1779
2008-01-06,13,2421
2008-01-06,14,2537
2008-01-06,15,3015
2008-01-06,16,3754
2008-01-06,17,480
2008-01-06,18,14
2008-01-07,6,3
2008-01-07,7,3
2008-01-07,8,87
2008-01-07,9,390
2008-01-07,10,332
2008-01-07,11,407
2008-01-07,12,591
2008-01-07,13,2503
2008-01-07,14,3251
2008-01-07,15,3470
2008-01-07,16,3243
2008-01-07,17,3651
2008-01-07,18,2499
2008-01-07,19,2135
2008-01-07,20,50
2008-01-07,23,8
2008-01-08,8,95
2008-01-08,9,139
2008-01-08,10,400
2008-01-08,11,248
2008-01-08,12,495
2008-01-08,13,2646
2008-01-08,14,2926
2008-01-08,15,3172
2008-01-08,16,3769
2008-01-08,17,3156
2008-01-08,18,2454
2008-01-08,19,2446
2008-01-08,20,38
2008-01-08,21,3
2008-01-09,7,8
2008-01-09,8,87
2008-01-09,9,66
2008-01-09,10,1437
2008-01-09,11,2149
2008-01-09,12,2218
2008-01-09,13,2511
2008-01-09,14,2738
2008-01-09,15,3042
2008-01-09,16,3641
2008-01-09,17,3600
2008-01-09,18,2762
2008-01-09,19,2641
2008-01-09,20,32
2008-01-10,8,298
2008-01-10,9,210
2008-01-10,10,1482
2008-01-10,11,2148
2008-01-10,12,1963
2008-01-10,13,2265
2008-01-10,14,2565
2008-01-10,15,3171
2008-01-10,16,3346
2008-01-10,17,3433
2008-01-10,18,2568
2008-01-10,19,2491
2008-01-10,20,34
2008-01-10,21,2
2008-01-11,6,2
2008-01-11,7,6
2008-01-11,8,105
2008-01-11,9,148
2008-01-11,10,1570
2008-01-11,11,2164
2008-01-11,12,2513
2008-01-11,13,2981
2008-01-11,14,2747
2008-01-11,15,3266
2008-01-11,16,4087
2008-01-11,17,4414
2008-01-11,18,132
2008-01-11,21,1
2008-01-11,23,3
2008-01-12,8,9
2008-01-12,9,34
2008-01-12,10,1937
2008-01-12,11,2974
2008-01-12,12,4401
2008-01-12,13,3773
2008-01-12,14,3590
2008-01-12,15,3421
2008-01-12,16,4031
2008-01-12,17,3707
2008-01-12,18,64
2008-01-13,9,5
2008-01-13,10,5
2008-01-13,11,9
2008-01-13,12,1650
2008-01-13,13,2530
2008-01-13,14,2756
2008-01-13,15,3331
2008-01-13,16,3235
2008-01-13,17,502
2008-01-13,18,14
2008-01-14,8,89
2008-01-14,9,169
2008-01-14,10,261
2008-01-14,11,360
2008-01-14,12,519
2008-01-14,13,2363
2008-01-14,14,2744
2008-01-14,15,2482
2008-01-14,16,3114
2008-01-14,17,3181
2008-01-14,18,2145
2008-01-14,19,1606
2008-01-14,20,62
2008-01-14,23,1
2008-01-15,8,13
2008-01-15,9,173
2008-01-15,10,220
2008-01-15,11,472
2008-01-15,12,516
2008-01-15,13,2696
2008-01-15,14,2626
2008-01-15,15,3227
2008-01-15,16,3645
2008-01-15,17,3341
2008-01-15,18,2476
2008-01-15,19,2320
2008-01-15,20,69
2008-01-15,23,7
2008-01-16,0,1
2008-01-16,4,1
2008-01-16,8,406
2008-01-16,9,119
2008-01-16,10,1363
2008-01-16,11,2307
2008-01-16,12,2282
2008-01-16,13,2567
2008-01-16,14,2586
2008-01-16,15,3449
2008-01-16,16,3440
2008-01-16,17,3721
2008-01-16,18,2976
2008-01-16,19,2748
2008-01-16,20,38
2008-01-16,22,1
2008-01-17,7,3
2008-01-17,8,233
2008-01-17,9,181
2008-01-17,10,1480
2008-01-17,11,2475
2008-01-17,12,2372
2008-01-17,13,2254
2008-01-17,14,2389
2008-01-17,15,2633
2008-01-17,16,3237
2008-01-17,17,3389
2008-01-17,18,2426
2008-01-17,19,2431
2008-01-17,20,41
2008-01-17,21,2
2008-01-18,8,5
2008-01-18,9,135
2008-01-18,10,1410
2008-01-18,11,2220
2008-01-18,12,2548
2008-01-18,13,2642
2008-01-18,14,2760
2008-01-18,15,3471
2008-01-18,16,3926
2008-01-18,17,4546
2008-01-18,18,138
2008-01-18,23,1
2008-01-19,9,11
2008-01-19,10,1803
2008-01-19,11,2952
2008-01-19,12,3568
2008-01-19,13,3745
2008-01-19,14,3786
2008-01-19,15,3760
2008-01-19,16,3855
2008-01-19,17,3680
2008-01-19,18,83
2008-01-20,8,8
2008-01-20,9,3
2008-01-20,10,3
2008-01-20,11,11
2008-01-20,12,1799
2008-01-20,13,2640
2008-01-20,14,2680
2008-01-20,15,3069
2008-01-20,16,3410
2008-01-20,17,578
2008-01-20,18,14
2008-01-21,17,4
2008-01-22,7,1
2008-01-22,8,91
2008-01-22,9,165
2008-01-22,10,231
2008-01-22,11,482
2008-01-22,12,668
2008-01-22,13,3015
2008-01-22,14,2988
2008-01-22,15,3386
2008-01-22,16,3701
2008-01-22,17,3666
2008-01-22,18,2826
2008-01-22,19,2642
2008-01-22,20,42
2008-01-22,23,6
2008-01-23,4,1
2008-01-23,7,4
2008-01-23,8,308
2008-01-23,9,49
2008-01-23,10,1374
2008-01-23,11,2118
2008-01-23,12,2451
2008-01-23,13,2235
2008-01-23,14,2785
2008-01-23,15,3067
2008-01-23,16,3531
2008-01-23,17,3495
2008-01-23,18,2672
2008-01-23,19,2460
2008-01-23,20,56
2008-01-23,23,2
2008-01-24,7,19
2008-01-24,8,195
2008-01-24,9,113
2008-01-24,10,1578
2008-01-24,11,1937
2008-01-24,12,2226
2008-01-24,13,2462
2008-01-24,14,2512
2008-01-24,15,3049
2008-01-24,16,3427
2008-01-24,17,3432
2008-01-24,18,2314
2008-01-24,19,2052
2008-01-24,20,63
2008-01-24,21,1
2008-01-24,23,2
2008-01-25,8,76
2008-01-25,9,94
2008-01-25,10,1503
2008-01-25,11,2307
2008-01-25,12,2089
2008-01-25,13,2382
2008-01-25,14,2955
2008-01-25,15,2996
2008-01-25,16,4033
2008-01-25,17,4252
2008-01-25,18,74
2008-01-25,20,1
2008-01-25,23,2
2008-01-26,8,10
2008-01-26,9,11
2008-01-26,10,2154
2008-01-26,11,3254
2008-01-26,12,3723
2008-01-26,13,3396
2008-01-26,14,3267
2008-01-26,15,3364
2008-01-26,16,3375
2008-01-26,17,3390
2008-01-26,18,106
2008-01-27,9,2
2008-01-27,10,11
2008-01-27,11,7
2008-01-27,12,1742
2008-01-27,13,2176
2008-01-27,14,2572
2008-01-27,15,2715
2008-01-27,16,3313
2008-01-27,17,407
2008-01-27,18,5
2008-01-27,22,9
2008-01-28,7,16
2008-01-28,8,65
2008-01-28,9,182
2008-01-28,10,270
2008-01-28,11,465
2008-01-28,12,539
2008-01-28,13,2773
2008-01-28,14,3101
2008-01-28,15,3247
2008-01-28,16,3460
2008-01-28,17,3354
2008-01-28,18,2327
2008-01-28,19,2076
2008-01-28,20,65
2008-01-28,22,1
2008-01-29,8,164
2008-01-29,9,222
2008-01-29,10,290
2008-01-29,11,524
2008-01-29,12,563
2008-01-29,13,2873
2008-01-29,14,3261
2008-01-29,15,3451
2008-01-29,16,3382
2008-01-29,17,3472
2008-01-29,18,2374
2008-01-29,19,2511
2008-01-29,20,47
2008-01-30,4,2
2008-01-30,8,51
2008-01-30,9,77
2008-01-30,10,1567
2008-01-30,11,2502
2008-01-30,12,2646
2008-01-30,13,2436
2008-01-30,14,2961
2008-01-30,15,3209
2008-01-30,16,3487
2008-01-30,17,3607
2008-01-30,18,2729
2008-01-30,19,2560
2008-01-30,20,42
2008-01-30,23,1
2008-01-31,8,217
2008-01-31,9,172
2008-01-31,10,1762
2008-01-31,11,2257
2008-01-31,12,2359
2008-01-31,13,2367
2008-01-31,14,2725
2008-01-31,15,2942
2008-01-31,16,3730
2008-01-31,17,3783
2008-01-31,18,2373
2008-01-31,19,2062
2008-01-31,20,30
2008-02-01,5,9
2008-02-01,9,83
2008-02-01,10,1743
2008-02-01,11,2071
2008-02-01,12,2381
2008-02-01,13,2844
2008-02-01,14,3009
2008-02-01,15,3506
2008-02-01,16,3835
2008-02-01,17,4471
2008-02-01,18,109
2008-02-02,9,7
2008-02-02,10,2050
2008-02-02,11,3166
2008-02-02,12,3959
2008-02-02,13,3713
2008-02-02,14,3891
2008-02-02,15,4061
2008-02-02,16,3998
2008-02-02,17,4210
2008-02-02,18,88
2008-02-03,9,12
2008-02-03,11,9
2008-02-03,12,1593
2008-02-03,13,2214
2008-02-03,14,2362
2008-02-03,15,2141
2008-02-03,16,2728
2008-02-03,17,256
2008-02-03,18,7
2008-02-04,7,2
2008-02-04,8,86
2008-02-04,9,253
2008-02-04,10,226
2008-02-04,11,630
2008-02-04,12,491
2008-02-04,13,2298
2008-02-04,14,2403
2008-02-04,15,2704
2008-02-04,16,3114
2008-02-04,17,3424
2008-02-04,18,2663
2008-02-04,19,2344
2008-02-04,20,48
2008-02-05,4,2
2008-02-05,7,13
2008-02-05,8,32
2008-02-05,9,269
2008-02-05,10,484
2008-02-05,11,341
2008-02-05,12,580
2008-02-05,13,2715
2008-02-05,14,2601
2008-02-05,15,2676
2008-02-05,16,3462
2008-02-05,17,3181
2008-02-05,18,2463
2008-02-05,19,1972
2008-02-05,20,39
2008-02-05,21,1
2008-02-05,23,6
2008-02-06,5,1
2008-02-06,8,30
2008-02-06,9,83
2008-02-06,10,1549
2008-02-06,11,2603
2008-02-06,12,2432
2008-02-06,13,2914
2008-02-06,14,2896
2008-02-06,15,3314
2008-02-06,16,3264
2008-02-06,17,3374
2008-02-06,18,2737
2008-02-06,19,2712
2008-02-06,20,48
2008-02-06,21,3
2008-02-06,22,1
2008-02-06,23,3
2008-02-07,7,3
2008-02-07,8,70
2008-02-07,9,131
2008-02-07,10,1513
2008-02-07,11,2587
2008-02-07,12,2258
2008-02-07,13,2252
2008-02-07,14,2566
2008-02-07,15,2932
2008-02-07,16,3429
2008-02-07,17,3586
2008-02-07,18,2267
2008-02-07,19,2437
2008-02-07,20,15
2008-02-07,22,1
2008-02-08,6,16
2008-02-08,7,1
2008-02-08,8,139
2008-02-08,9,121
2008-02-08,10,1474
2008-02-08,11,2128
2008-02-08,12,2117
2008-02-08,13,2474
2008-02-08,14,2418
2008-02-08,15,3112
2008-02-08,16,3751
2008-02-08,17,3687
2008-02-08,18,42
2008-02-08,20,8
2008-02-08,23,1
2008-02-09,8,2
2008-02-09,9,9
2008-02-09,10,1873
2008-02-09,11,2762
2008-02-09,12,3235
2008-02-09,13,2685
2008-02-09,14,3432
2008-02-09,15,4193
2008-02-09,16,3801
2008-02-09,17,3770
2008-02-09,18,83
2008-02-10,9,2
2008-02-10,10,6
2008-02-10,11,19
2008-02-10,12,1753
2008-02-10,13,2366
2008-02-10,14,2655
2008-02-10,15,2550
2008-02-10,16,3128
