Date,Hour,TotalCheckouts
2013-01-02,7,10
2013-01-02,8,6
2013-01-02,9,12
2013-01-02,10,1292
2013-01-02,11,2930
2013-01-02,12,3261
2013-01-02,13,3276
2013-01-02,14,3594
2013-01-02,15,3820
2013-01-02,16,4525
2013-01-02,17,3692
2013-01-02,18,1867
2013-01-02,19,1766
2013-01-02,20,19
2013-01-03,7,16
2013-01-03,8,32
2013-01-03,9,172
2013-01-03,10,1242
2013-01-03,11,2425
2013-01-03,12,2584
2013-01-03,13,3087
2013-01-03,14,2920
2013-01-03,15,3444
2013-01-03,16,3766
2013-01-03,17,3378
2013-01-03,18,1523
2013-01-03,19,1320
2013-01-03,20,2
2013-01-03,22,3
2013-01-03,23,1
2013-01-04,7,8
2013-01-04,8,3
2013-01-04,9,144
2013-01-04,10,1209
2013-01-04,11,1828
2013-01-04,12,2209
2013-01-04,13,2343
2013-01-04,14,2304
2013-01-04,15,2833
2013-01-04,16,3007
2013-01-04,17,2847
2013-01-04,18,23
2013-01-05,9,7
2013-01-05,10,1611
2013-01-05,11,3410
2013-01-05,12,4219
2013-01-05,13,4353
2013-01-05,14,4898
2013-01-05,15,4887
2013-01-05,16,4845
2013-01-05,17,3792
2013-01-05,18,24
2013-01-06,8,5
2013-01-06,9,325
2013-01-06,10,52
2013-01-06,11,25
2013-01-06,12,320
2013-01-06,13,4451
2013-01-06,14,3632
2013-01-06,15,3914
2013-01-06,16,3853
2013-01-06,17,418
2013-01-06,18,5
2013-01-07,6,1
2013-01-07,8,13
2013-01-07,9,44
2013-01-07,10,1292
2013-01-07,11,1709
2013-01-07,12,2388
2013-01-07,13,3076
2013-01-07,14,3072
2013-01-07,15,3463
2013-01-07,16,3816
2013-01-07,17,3762
2013-01-07,18,2418
2013-01-07,19,2145
2013-01-07,20,2
2013-01-07,22,4
2013-01-08,8,1
2013-01-08,9,118
2013-01-08,10,1294
2013-01-08,11,1639
2013-01-08,12,1757
2013-01-08,13,2405
2013-01-08,14,2250
2013-01-08,15,3130
2013-01-08,16,3383
2013-01-08,17,3011
2013-01-08,18,2129
2013-01-08,19,2020
2013-01-08,20,10
2013-01-09,7,5
2013-01-09,8,1
2013-01-09,9,21
2013-01-09,10,1121
2013-01-09,11,1977
2013-01-09,12,2468
2013-01-09,13,2429
2013-01-09,14,2910
2013-01-09,15,3311
2013-01-09,16,3720
2013-01-09,17,3910
2013-01-09,18,1609
2013-01-09,19,1290
2013-01-09,20,10
2013-01-10,8,80
2013-01-10,9,46
2013-01-10,10,1305
2013-01-10,11,2095
2013-01-10,12,2185
2013-01-10,13,2710
2013-01-10,14,2549
2013-01-10,15,3296
2013-01-10,16,3730
2013-01-10,17,3556
2013-01-10,18,1651
2013-01-10,19,1559
2013-01-10,20,18
2013-01-10,23,2
2013-01-11,8,46
2013-01-11,9,44
2013-01-11,10,1169
2013-01-11,11,1765
2013-01-11,12,1962
2013-01-11,13,2161
2013-01-11,14,2524
2013-01-11,15,2575
2013-01-11,16,2996
2013-01-11,17,3372
2013-01-11,18,42
2013-01-11,21,2
2013-01-12,8,2
2013-01-12,9,5
2013-01-12,10,1384
2013-01-12,11,3752
2013-01-12,12,4367
2013-01-12,13,4705
2013-01-12,14,4679
2013-01-12,15,4824
2013-01-12,16,4709
2013-01-12,17,3628
2013-01-12,18,35
2013-01-13,9,3
2013-01-13,10,10
2013-01-13,11,11
2013-01-13,12,264
2013-01-13,13,3466
2013-01-13,14,4584
2013-01-13,15,4351
2013-01-13,16,5115
2013-01-13,17,450
2013-01-13,18,4
2013-01-14,8,1
2013-01-14,9,42
2013-01-14,10,1294
2013-01-14,11,1869
2013-01-14,12,1934
2013-01-14,13,2480
2013-01-14,14,3217
2013-01-14,15,3499
2013-01-14,16,3949
2013-01-14,17,3706
2013-01-14,18,2482
2013-01-14,19,2212
2013-01-14,20,39
2013-01-15,7,10
2013-01-15,8,14
2013-01-15,9,107
2013-01-15,10,1019
2013-01-15,11,1678
2013-01-15,12,1687
2013-01-15,13,2614
2013-01-15,14,2365
2013-01-15,15,2919
2013-01-15,16,3325
2013-01-15,17,3321
2013-01-15,18,2253
2013-01-15,19,2068
2013-01-15,20,12
2013-01-16,8,27
2013-01-16,9,45
