Date,Hour,TotalCheckouts
2015-01-02,9,139
2015-01-02,10,1555
2015-01-02,11,2509
2015-01-02,12,2768
2015-01-02,13,2803
2015-01-02,14,3408
2015-01-02,15,2980
2015-01-02,16,2810
2015-01-02,17,2796
2015-01-02,18,55
2015-01-02,23,4
2015-01-03,8,2
2015-01-03,9,19
2015-01-03,10,1289
2015-01-03,11,3058
2015-01-03,12,3774
2015-01-03,13,3898
2015-01-03,14,3847
2015-01-03,15,4187
2015-01-03,16,4511
2015-01-03,17,3042
2015-01-03,18,19
2015-01-04,9,5
2015-01-04,10,4
2015-01-04,11,43
2015-01-04,12,237
2015-01-04,13,3734
2015-01-04,14,3912
2015-01-04,15,4574
2015-01-04,16,3979
2015-01-04,17,425
2015-01-05,8,4
2015-01-05,9,46
2015-01-05,10,1176
2015-01-05,11,1701
2015-01-05,12,1880
2015-01-05,13,2578
2015-01-05,14,2873
2015-01-05,15,3173
2015-01-05,16,3585
2015-01-05,17,3411
2015-01-05,18,2008
2015-01-05,19,1567
2015-01-05,20,23
2015-01-06,7,4
2015-01-06,8,10
2015-01-06,9,5
2015-01-06,10,1401
2015-01-06,11,1723
2015-01-06,12,1538
2015-01-06,13,2136
2015-01-06,14,2200
2015-01-06,15,2686
2015-01-06,16,3113
2015-01-06,17,2640
2015-01-06,18,2118
2015-01-06,19,1535
2015-01-06,20,11
2015-01-07,8,7
2015-01-07,9,35
2015-01-07,10,1150
2015-01-07,11,1956
2015-01-07,12,1954
2015-01-07,13,2281
2015-01-07,14,2184
2015-01-07,15,2885
2015-01-07,16,3223
2015-01-07,17,3079
2015-01-07,18,1379
2015-01-07,19,1399
2015-01-07,20,31
2015-01-08,7,10
2015-01-08,8,4
2015-01-08,9,82
2015-01-08,10,1381
2015-01-08,11,2091
2015-01-08,12,2203
2015-01-08,13,2138
2015-01-08,14,2428
2015-01-08,15,2371
2015-01-08,16,2936
2015-01-08,17,3068
2015-01-08,18,1503
2015-01-08,19,1192
2015-01-08,20,2
2015-01-08,23,1
2015-01-09,7,1
2015-01-09,8,64
2015-01-09,9,106
2015-01-09,10,1151
2015-01-09,11,1464
2015-01-09,12,1643
2015-01-09,13,1703
2015-01-09,14,1917
2015-01-09,15,2294
2015-01-09,16,2389
2015-01-09,17,2798
2015-01-09,18,42
2015-01-09,22,3
2015-01-09,23,3
2015-01-10,9,20
2015-01-10,10,1370
2015-01-10,11,3565
2015-01-10,12,3941
2015-01-10,13,4332
2015-01-10,14,3760
2015-01-10,15,4106
2015-01-10,16,3410
2015-01-10,17,2497
2015-01-10,18,6
2015-01-11,9,4
2015-01-11,10,7
2015-01-11,11,6
2015-01-11,12,350
2015-01-11,13,3746
2015-01-11,14,4541
2015-01-11,15,4364
2015-01-11,16,4795
2015-01-11,17,470
2015-01-12,7,1
2015-01-12,8,17
2015-01-12,9,32
2015-01-12,10,1370
2015-01-12,11,2200
2015-01-12,12,1952
2015-01-12,13,2867
2015-01-12,14,3067
2015-01-12,15,2964
2015-01-12,16,3807
2015-01-12,17,3179
2015-01-12,18,2106
2015-01-12,19,1876
2015-01-12,20,35
2015-01-13,8,14
2015-01-13,9,5
2015-01-13,10,1042
2015-01-13,11,1505
2015-01-13,12,1659
2015-01-13,13,2344
2015-01-13,14,2263
2015-01-13,15,2777
2015-01-13,16,3098
2015-01-13,17,2815
2015-01-13,18,2042
2015-01-13,19,1710
2015-01-13,20,34
2015-01-14,8,1
2015-01-14,9,33
2015-01-14,10,979
2015-01-14,11,1831
2015-01-14,12,2157
2015-01-14,13,2151
2015-01-14,14,2942
2015-01-14,15,2902
2015-01-14,16,2886
2015-01-14,17,2676
2015-01-14,18,1371
2015-01-14,19,1217
2015-01-14,22,1
2015-01-15,8,5
2015-01-15,9,40
2015-01-15,10,1217
2015-01-15,11,2222
2015-01-15,12,2314
2015-01-15,13,2110
2015-01-15,14,2095
2015-01-15,15,2271
2015-01-15,16,2769
2015-01-15,17,2631
2015-01-15,18,1386
2015-01-15,19,1117
2015-01-15,20,20
2015-01-15,21,5
2015-01-16,8,2
2015-01-16,9,7
2015-01-16,10,1228
2015-01-16,11,1514
2015-01-16,12,1587
2015-01-16,13,1651
2015-01-16,14,1945
2015-01-16,15,2104
2015-01-16,16,2433
2015-01-16,17,2614
2015-01-16,18,17
2015-01-16,21,2
2015-01-17,9,17
2015-01-17,10,1412
2015-01-17,11,2990
2015-01-17,12,3725
2015-01-17,13,3947
2015-01-17,14,3941
2015-01-17,15,3783
2015-01-17,16,3866
2015-01-17,17,3001
2015-01-17,18,42
2015-01-18,9,39
2015-01-18,10,4
2015-01-18,11,34
2015-01-18,12,285
2015-01-18,13,2638
2015-01-18,14,2237
2015-01-18,15,2343
2015-01-18,16,4057
2015-01-18,17,352
2015-01-18,18,2
2015-01-20,8,77
2015-01-20,9,8
2015-01-20,10,1669
2015-01-20,11,2137
2015-01-20,12,2143
2015-01-20,13,3049
2015-01-20,14,3080
2015-01-20,15,3493
2015-01-20,16,4061
2015-01-20,17,3793
2015-01-20,18,2581
2015-01-20,19,2350
2015-01-20,20,41
2015-01-20,22,1
2015-01-21,8,17
2015-01-21,9,42
2015-01-21,10,1459
2015-01-21,11,2034
2015-01-21,12,1934
2015-01-21,13,2016
2015-01-21,14,2508
2015-01-21,15,2305
2015-01-21,16,3071
2015-01-21,17,2806
2015-01-21,18,1413
2015-01-21,19,1332
2015-01-22,7,2
2015-01-22,9,77
2015-01-22,10,1210
2015-01-22,11,2101
2015-01-22,12,2104
2015-01-22,13,1936
2015-01-22,14,2066
2015-01-22,15,2212
2015-01-22,16,2940
2015-01-22,17,2804
2015-01-22,18,1263
2015-01-22,19,1116
2015-01-22,20,4
2015-01-22,22,4
