Date,Hour,TotalCheckouts
2009-01-01,9,1
2009-01-01,11,1
2009-01-02,6,2
2009-01-02,8,69
2009-01-02,9,58
2009-01-02,10,2276
2009-01-02,11,3755
2009-01-02,12,4294
2009-01-02,13,4346
2009-01-02,14,5019
2009-01-02,15,5172
2009-01-02,16,5649
2009-01-02,17,5559
2009-01-02,18,169
2009-01-02,20,4
2009-01-03,9,7
2009-01-03,10,1758
2009-01-03,11,2774
2009-01-03,12,3272
2009-01-03,13,3647
2009-01-03,14,4172
2009-01-03,15,4861
2009-01-03,16,4137
2009-01-03,17,3931
2009-01-03,18,30
2009-01-03,23,1
2009-01-04,9,9
2009-01-04,10,1
2009-01-04,11,14
2009-01-04,12,2049
2009-01-04,13,2367
2009-01-04,14,2825
2009-01-04,15,2913
2009-01-04,16,3313
2009-01-04,17,504
2009-01-04,18,1
2009-01-05,8,184
2009-01-05,9,3
2009-01-05,10,343
2009-01-05,11,465
2009-01-05,12,726
2009-01-05,13,3358
2009-01-05,14,4016
2009-01-05,15,4754
2009-01-05,16,5479
2009-01-05,17,4938
2009-01-05,18,3598
2009-01-05,19,3444
2009-01-05,20,84
2009-01-06,5,1
2009-01-06,7,1
2009-01-06,8,124
2009-01-06,9,290
2009-01-06,10,326
2009-01-06,11,406
2009-01-06,12,607
2009-01-06,13,3863
2009-01-06,14,3385
2009-01-06,15,4385
2009-01-06,16,4253
2009-01-06,17,4306
2009-01-06,18,3332
2009-01-06,19,2822
2009-01-06,20,41
2009-01-06,23,3
2009-01-07,7,4
2009-01-07,8,206
2009-01-07,9,44
2009-01-07,10,1609
2009-01-07,11,2663
2009-01-07,12,2666
2009-01-07,13,3081
2009-01-07,14,3103
2009-01-07,15,3628
2009-01-07,16,3702
2009-01-07,17,3854
2009-01-07,18,3018
2009-01-07,19,2749
2009-01-07,20,20
2009-01-08,7,11
2009-01-08,8,468
2009-01-08,9,26
2009-01-08,10,1778
2009-01-08,11,2709
2009-01-08,12,2585
2009-01-08,13,2676
2009-01-08,14,2892
2009-01-08,15,3364
2009-01-08,16,3847
2009-01-08,17,3741
2009-01-08,18,2880
2009-01-08,19,2592
2009-01-08,20,27
2009-01-08,21,6
2009-01-09,6,2
2009-01-09,7,30
2009-01-09,8,57
2009-01-09,9,144
2009-01-09,10,1645
2009-01-09,11,2052
2009-01-09,12,2704
2009-01-09,13,2897
2009-01-09,14,3330
2009-01-09,15,3972
2009-01-09,16,4554
2009-01-09,17,5171
2009-01-09,18,73
2009-01-09,23,2
2009-01-10,9,6
2009-01-10,10,2106
2009-01-10,11,3366
2009-01-10,12,4502
2009-01-10,13,4524
2009-01-10,14,4772
2009-01-10,15,5011
2009-01-10,16,5094
2009-01-10,17,4237
2009-01-10,18,86
2009-01-10,19,5
2009-01-10,20,1
2009-01-10,22,2
2009-01-10,23,3
2009-01-11,6,8
2009-01-11,7,4
2009-01-11,8,12
2009-01-11,9,5
2009-01-11,10,4
2009-01-11,11,15
2009-01-11,12,2244
2009-01-11,13,2975
2009-01-11,14,3059
2009-01-11,15,3387
2009-01-11,16,4096
2009-01-11,17,512
2009-01-11,18,8
2009-01-11,20,2
2009-01-11,23,1
2009-01-12,7,45
2009-01-12,8,75
2009-01-12,9,216
2009-01-12,10,487
2009-01-12,11,637
2009-01-12,12,674
2009-01-12,13,3085
2009-01-12,14,3313
2009-01-12,15,4346
2009-01-12,16,4791
2009-01-12,17,4442
2009-01-12,18,3621
2009-01-12,19,2779
2009-01-12,20,34
2009-01-12,22,1
2009-01-13,7,3
2009-01-13,8,83
2009-01-13,9,95
2009-01-13,10,532
2009-01-13,11,374
2009-01-13,12,632
2009-01-13,13,3304
2009-01-13,14,3673
2009-01-13,15,4160
2009-01-13,16,4428
2009-01-13,17,4202
2009-01-13,18,3230
2009-01-13,19,3225
2009-01-13,20,65
2009-01-13,23,5
2009-01-14,4,1
2009-01-14,7,45
2009-01-14,8,230
2009-01-14,9,104
2009-01-14,10,1837
2009-01-14,11,2921
2009-01-14,12,2652
2009-01-14,13,2921
2009-01-14,14,3163
2009-01-14,15,3678
2009-01-14,16,4258
2009-01-14,17,4391
2009-01-14,18,3142
2009-01-14,19,2743
2009-01-14,20,42
2009-01-14,23,1
2009-01-15,7,18
2009-01-15,8,55
2009-01-15,9,93
2009-01-15,10,1523
2009-01-15,11,2381
2009-01-15,12,2591
2009-01-15,13,2420
2009-01-15,14,2729
2009-01-15,15,3841
2009-01-15,16,3988
2009-01-15,17,4193
2009-01-15,18,2764
2009-01-15,19,2550
2009-01-15,20,32
2009-01-15,22,2
2009-01-15,23,3
2009-01-16,7,16
2009-01-16,8,61
2009-01-16,9,145
2009-01-16,10,1678
2009-01-16,11,2367
2009-01-16,12,2484
2009-01-16,13,2577
2009-01-16,14,3249
2009-01-16,15,4114
2009-01-16,16,4586
2009-01-16,17,4922
2009-01-16,18,64
2009-01-16,21,1
2009-01-16,23,2
2009-01-17,9,26
2009-01-17,10,2160
2009-01-17,11,3444
2009-01-17,12,3633
2009-01-17,13,4473
2009-01-17,14,4470
2009-01-17,15,4910
2009-01-17,16,5061
2009-01-17,17,4153
2009-01-17,18,79
2009-01-17,23,1
2009-01-18,9,4
2009-01-18,10,2
2009-01-18,11,27
2009-01-18,12,1941
2009-01-18,13,2700
2009-01-18,14,3006
2009-01-18,15,2809
2009-01-18,16,3464
2009-01-18,17,525
2009-01-18,18,2
2009-01-19,10,3
2009-01-19,13,1
2009-01-19,14,4
2009-01-19,16,27
2009-01-19,17,1
2009-01-19,18,2
2009-01-19,23,2
2009-01-20,7,10
2009-01-20,8,123
2009-01-20,9,63
2009-01-20,10,368
2009-01-20,11,542
2009-01-20,12,667
2009-01-20,13,3439
2009-01-20,14,3627
2009-01-20,15,4197
2009-01-20,16,4918
2009-01-20,17,5035
2009-01-20,18,3784
2009-01-20,19,2952
2009-01-20,20,22
2009-01-20,22,2
2009-01-20,23,2
2009-01-21,8,243
2009-01-21,9,115
2009-01-21,10,2050
2009-01-21,11,2713
2009-01-21,12,2900
2009-01-21,13,2792
2009-01-21,14,3555
2009-01-21,15,3834
2009-01-21,16,4189
2009-01-21,17,4501
2009-01-21,18,3345
2009-01-21,19,2898
2009-01-21,20,49
2009-01-22,7,15
2009-01-22,8,184
2009-01-22,9,141
2009-01-22,10,2080
2009-01-22,11,2618
2009-01-22,12,2412
2009-01-22,13,2792
2009-01-22,14,2939
2009-01-22,15,3498
2009-01-22,16,4214
2009-01-22,17,4055
2009-01-22,18,2971
2009-01-22,19,2795
2009-01-22,20,11
2009-01-23,7,17
2009-01-23,8,166
2009-01-23,9,179
2009-01-23,10,1528
2009-01-23,11,2381
2009-01-23,12,2542
2009-01-23,13,2950
2009-01-23,14,3324
2009-01-23,15,3885
2009-01-23,16,4347
2009-01-23,17,5059
2009-01-23,18,131
2009-01-23,22,1
2009-01-24,8,16
2009-01-24,9,26
2009-01-24,10,1922
2009-01-24,11,3407
2009-01-24,12,3948
2009-01-24,13,3924
2009-01-24,14,4622
2009-01-24,15,4687
2009-01-24,16,4725
2009-01-24,17,4230
2009-01-24,18,77
2009-01-24,20,1
2009-01-24,23,2
2009-01-25,8,2
2009-01-25,9,21
2009-01-25,10,1
2009-01-25,11,9
2009-01-25,12,2170
2009-01-25,13,2583
2009-01-25,14,3044
2009-01-25,15,3137
2009-01-25,16,3779
2009-01-25,17,646
2009-01-25,18,15
2009-01-26,6,1
2009-01-26,7,1
2009-01-26,8,146
2009-01-26,9,83
2009-01-26,10,400
2009-01-26,11,503
2009-01-26,12,683
2009-01-26,13,3457
2009-01-26,14,4079
2009-01-26,15,3924
2009-01-26,16,4307
2009-01-26,17,4390
2009-01-26,18,2975
2009-01-26,19,2632
2009-01-26,20,61
2009-01-26,22,6
2009-01-27,7,66
2009-01-27,8,149
2009-01-27,9,150
2009-01-27,10,461
2009-01-27,11,451
2009-01-27,12,483
2009-01-27,13,2832
2009-01-27,14,3656
2009-01-27,15,3750
2009-01-27,16,3771
2009-01-27,17,3631
2009-01-27,18,3080
2009-01-27,19,2844
2009-01-27,20,22
2009-01-27,21,1
2009-01-27,23,2
2009-01-28,7,17
2009-01-28,8,135
2009-01-28,9,100
2009-01-28,10,1701
2009-01-28,11,2656
2009-01-28,12,2843
2009-01-28,13,3034
2009-01-28,14,3489
2009-01-28,15,3497
2009-01-28,16,4101
2009-01-28,17,4235
2009-01-28,18,3018
2009-01-28,19,2693
2009-01-28,20,23
2009-01-29,7,1
2009-01-29,8,119
2009-01-29,9,279
2009-01-29,10,1844
2009-01-29,11,2524
2009-01-29,12,2541
2009-01-29,13,2597
2009-01-29,14,2658
2009-01-29,15,3459
2009-01-29,16,3819
2009-01-29,17,4061
2009-01-29,18,2787
2009-01-29,19,2388
2009-01-29,20,15
2009-01-29,21,7
2009-01-30,7,2
2009-01-30,8,90
2009-01-30,9,80
2009-01-30,10,1515
2009-01-30,11,2243
2009-01-30,12,2705
2009-01-30,13,2767
2009-01-30,14,3103
2009-01-30,15,3952
2009-01-30,16,4182
2009-01-30,17,4935
2009-01-30,18,66
2009-01-30,20,3
2009-01-30,23,1
2009-01-31,8,9
2009-01-31,9,15
2009-01-31,10,2023
2009-01-31,11,3215
2009-01-31,12,4243
2009-01-31,13,4359
2009-01-31,14,4597
2009-01-31,15,4650
2009-01-31,16,4481
2009-01-31,17,4354
2009-01-31,18,70
2009-02-01,7,2
2009-02-01,9,4
2009-02-01,10,4
2009-02-01,11,17
2009-02-01,12,2011
2009-02-01,13,2880
2009-02-01,14,2665
2009-02-01,15,2630
2009-02-01,16,2428
2009-02-01,17,434
2009-02-01,18,1
2009-02-02,7,1
2009-02-02,8,93
2009-02-02,9,93
2009-02-02,10,277
2009-02-02,11,450
2009-02-02,12,666
2009-02-02,13,2920
2009-02-02,14,3398
2009-02-02,15,3636
2009-02-02,16,4067
2009-02-02,17,4338
2009-02-02,18,3136
2009-02-02,19,2609
2009-02-02,20,31
2009-02-02,21,1
2009-02-03,7,33
2009-02-03,8,86
2009-02-03,9,152
2009-02-03,10,350
2009-02-03,11,451
2009-02-03,12,540
2009-02-03,13,3329
2009-02-03,14,3523
2009-02-03,15,3778
2009-02-03,16,3964
2009-02-03,17,4287
2009-02-03,18,3213
2009-02-03,19,2837
2009-02-03,20,24
2009-02-03,23,2
2009-02-04,8,71
2009-02-04,9,92
2009-02-04,10,1790
2009-02-04,11,2727
2009-02-04,12,2853
2009-02-04,13,2908
2009-02-04,14,3112
2009-02-04,15,3674
2009-02-04,16,3522
2009-02-04,17,4153
2009-02-04,18,3432
2009-02-04,19,2840
2009-02-04,20,20
2009-02-05,7,48
2009-02-05,8,129
2009-02-05,9,50
2009-02-05,10,1707
2009-02-05,11,2616
2009-02-05,13,2770
2009-02-05,14,2823
2009-02-05,15,3214
2009-02-05,16,4153
2009-02-05,17,3800
2009-02-05,18,2925
2009-02-05,19,2256
2009-02-05,20,36
2009-02-06,7,15
2009-02-06,8,71
2009-02-06,9,33
2009-02-06,10,1694
2009-02-06,11,2294
2009-02-06,12,2183
2009-02-06,13,2907
2009-02-06,14,3092
2009-02-06,15,3695
2009-02-06,16,3999
2009-02-06,17,4907
2009-02-06,18,63
2009-02-06,20,3
2009-02-06,23,4
2009-02-07,8,5
2009-02-07,9,22
2009-02-07,10,2327
2009-02-07,11,2918
2009-02-07,12,3787
2009-02-07,13,4059
2009-02-07,14,4400
2009-02-07,15,4563
2009-02-07,16,5106
2009-02-07,17,4578
2009-02-07,18,40
2009-02-07,20,1
2009-02-07,22,3
2009-02-07,23,5
2009-02-08,9,3
2009-02-08,10,3
2009-02-08,11,16
2009-02-08,12,1911
2009-02-08,13,2720
2009-02-08,14,3095
2009-02-08,15,3406
2009-02-08,16,3386
2009-02-08,17,535
2009-02-08,18,1
2009-02-09,7,26
2009-02-09,8,331
2009-02-09,9,135
2009-02-09,10,510
2009-02-09,11,440
2009-02-09,12,603
2009-02-09,13,2886
2009-02-09,14,3383
2009-02-09,15,3732
2009-02-09,16,4571
2009-02-09,17,4043
2009-02-09,18,2927
2009-02-09,19,2382
2009-02-09,20,56
2009-02-09,21,1
2009-02-09,23,3
2009-02-10,7,1
2009-02-10,8,227
2009-02-10,9,151
2009-02-10,10,363
2009-02-10,11,441
2009-02-10,12,681
2009-02-10,13,3153
2009-02-10,14,3379
2009-02-10,15,3732
2009-02-10,16,3889
2009-02-10,17,3919
2009-02-10,18,2957
2009-02-10,19,2701
2009-02-10,20,59
2009-02-10,23,8
2009-02-11,7,9
2009-02-11,8,170
2009-02-11,9,88
2009-02-11,10,1853
2009-02-11,11,2638
2009-02-11,12,2903
2009-02-11,13,3048
2009-02-11,14,3635
2009-02-11,15,3733
2009-02-11,16,3958
2009-02-11,17,4187
2009-02-11,18,3310
