Date,Hour,TotalCheckouts
2006-01-01,15,1
2006-01-01,16,1
2006-01-02,8,2
2006-01-02,9,8
2006-01-02,10,116
2006-01-02,11,258
2006-01-02,12,265
2006-01-02,13,2172
2006-01-02,14,2845
2006-01-02,15,2472
2006-01-02,16,2426
2006-01-02,17,1813
2006-01-02,18,1082
2006-01-02,19,1110
2006-01-02,20,6
2006-01-03,7,73
2006-01-03,8,173
2006-01-03,9,221
2006-01-03,10,437
2006-01-03,11,390
2006-01-03,12,671
2006-01-03,13,499
2006-01-03,14,858
2006-01-03,15,3131
2006-01-03,16,3549
2006-01-03,17,2839
2006-01-03,18,2170
2006-01-03,19,2349
2006-01-03,20,20
2006-01-04,8,80
2006-01-04,9,111
2006-01-04,10,619
2006-01-04,11,1535
2006-01-04,12,2010
2006-01-04,13,1773
2006-01-04,14,1993
2006-01-04,15,2300
2006-01-04,16,231
2006-01-04,17,814
2006-01-04,18,2149
2006-01-04,19,1759
2006-01-04,20,33
2006-01-05,5,4
2006-01-05,8,55
2006-01-05,9,156
2006-01-05,10,1001
2006-01-05,11,1613
2006-01-05,12,1459
2006-01-05,13,1871
2006-01-05,14,2114
2006-01-05,15,2339
2006-01-05,16,686
2006-01-05,17,3053
2006-01-05,18,33
2006-01-06,7,6
2006-01-06,8,32
2006-01-06,9,47
2006-01-06,10,1327
2006-01-06,11,1941
2006-01-06,12,1945
2006-01-06,13,2075
2006-01-06,14,2147
2006-01-06,15,2554
2006-01-06,16,2879
2006-01-06,17,3863
2006-01-06,18,97
2006-01-06,19,9
2006-01-06,20,2
2006-01-07,0,1
2006-01-07,2,2
2006-01-07,9,8
2006-01-07,10,1645
2006-01-07,11,1943
2006-01-07,12,1366
2006-01-07,13,1407
2006-01-07,14,1980
2006-01-07,15,2292
2006-01-07,16,647
2006-01-07,17,3004
2006-01-07,18,12
2006-01-08,8,1
2006-01-08,9,4
2006-01-08,10,29
2006-01-08,11,4
2006-01-08,12,3
2006-01-08,13,1554
2006-01-08,14,1868
2006-01-08,15,1653
2006-01-08,16,2018
2006-01-08,17,37
2006-01-09,7,1
2006-01-09,8,67
