Date,Hour,TotalCheckouts
2012-01-02,7,2
2012-01-02,8,19
2012-01-02,9,31
2012-01-02,10,1054
2012-01-02,11,1747
2012-01-02,12,1733
2012-01-02,13,2825
2012-01-02,14,2671
2012-01-02,15,2636
2012-01-02,16,2627
2012-01-02,17,2073
2012-01-02,18,1151
2012-01-02,19,1095
2012-01-02,20,3
2012-01-02,21,3
2012-01-03,9,74
2012-01-03,10,1198
2012-01-03,11,1792
2012-01-03,12,1655
2012-01-03,13,2672
2012-01-03,14,2729
2012-01-03,15,2535
2012-01-03,16,2634
2012-01-03,17,2595
2012-01-03,18,2447
2012-01-03,19,2728
2012-01-03,20,35
2012-01-03,21,2
2012-01-04,7,4
2012-01-04,8,11
2012-01-04,9,33
2012-01-04,10,1030
2012-01-04,11,2147
2012-01-04,12,1955
2012-01-04,13,2091
2012-01-04,14,2645
2012-01-04,15,2953
2012-01-04,16,2657
2012-01-04,17,2743
2012-01-04,18,1637
2012-01-04,19,1477
2012-01-04,20,5
2012-01-05,7,2
2012-01-05,8,112
2012-01-05,9,171
2012-01-05,10,1359
2012-01-05,11,2335
2012-01-05,12,2416
2012-01-05,13,2731
2012-01-05,14,2860
2012-01-05,15,2721
2012-01-05,16,2643
2012-01-05,17,2781
2012-01-05,18,1815
2012-01-05,19,1219
2012-01-05,20,4
2012-01-05,22,2
2012-01-06,8,4
2012-01-06,9,131
2012-01-06,10,1391
2012-01-06,11,1505
2012-01-06,12,1787
2012-01-06,13,1724
2012-01-06,14,2298
2012-01-06,15,2750
2012-01-06,16,2527
2012-01-06,17,3028
2012-01-06,18,29
2012-01-06,20,3
2012-01-07,9,4
2012-01-07,10,1456
2012-01-07,11,3684
2012-01-07,12,3655
2012-01-07,13,2930
2012-01-07,14,2760
2012-01-07,15,2716
2012-01-07,16,2750
2012-01-07,17,2961
2012-01-07,18,23
2012-01-07,23,2
2012-01-08,8,6
2012-01-08,9,26
2012-01-08,10,92
2012-01-08,11,142
2012-01-08,12,298
2012-01-08,13,2746
2012-01-08,14,2782
2012-01-08,15,2948
2012-01-08,16,3247
2012-01-08,17,394
2012-01-08,18,5
2012-01-09,7,5
2012-01-09,8,4
2012-01-09,9,113
2012-01-09,10,1075
2012-01-09,11,1690
2012-01-09,12,1952
2012-01-09,13,2659
