title,Dewey,Counts,Average,Standard Dev,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Hungry planet what the world eats,0.3,1259,103,103.6488828,322,229,224,103,127,91,49,27,18,16,14,16
Mark Bittmans Kitchen express 404 inspired seasonal dishes you can make in 20 minutes or less,0.555,1231,100.5,122.2430515,0,0,0,214,414,188,105,103,90,45,33,14
Ad Hoc at home,0.5973,1229,100.25,175.5951568,0,0,0,44,616,240,88,82,65,41,18,9
best make ahead recipe a best recipe classic,0.555,1222,100.8333333,99.47940247,0,170,340,204,142,117,62,52,44,37,30,12
fortune cookie chronicles adventures in the world of Chinese food,0.5951,1211,99.33333333,192.4588897,0,0,666,261,86,62,29,37,19,13,12,7
Healthy bread in five minutes a day 100 new recipes featuring whole grains fruits vegetables and gluten free ingredients,0.815,1173,95.83333333,159.5088104,0,0,0,75,553,235,106,95,51,19,14,2
Super baby food absolutely everything you should know about feeding your baby and toddler from starting solid foods to age three years,0.5622,1151,93.75,91.206185,185,207,236,183,158,59,24,28,27,12,6,0
bread bakers apprentice mastering the art of extraordinary bread,0.815,1151,94.16666667,83.41771485,66,86,156,249,221,169,54,49,28,28,24,0
Jerusalem a cookbook,0.5676,1143,95.25,134.6504734,0,0,0,0,0,0,50,365,336,194,134,64
Skinny bitch in the kitch kick ass recipes for hungry girls who want to stop cooking crap and start looking hot,0.56308,1137,93.25,153.4986675,0,17,484,292,194,69,31,16,8,6,2,0
Momofuku,0.595,1131,91.66666667,143.7322848,0,0,0,34,517,189,89,81,59,56,39,36
Barefoot Contessa family style easy ideas and recipes that make everyone feel like family,0.5,1113,91.41666667,70.99866623,191,150,156,190,151,90,47,29,19,32,28,14
Tender at the bone growing up at the table,0.5092,1113,91,89.54328562,189,160,168,236,160,122,39,18,0,0,0,0
Mexican everyday,0.5972,1111,90.58333333,65.71350814,210,113,130,138,190,90,51,41,47,42,24,11
My bread the revolutionary no work no knead method,0.815,1094,89.75,120.8343156,0,0,0,123,434,178,88,83,50,46,42,33
French chef 2 with Julia Child,0.5944,1094,89.75,94.28113182,0,76,140,231,280,161,94,42,20,14,11,8
Around my French table more than 300 recipes from my home to yours,0.5944,1092,89,140.0655691,0,0,0,0,126,506,122,106,75,70,44,19
Jamies food revolution rediscover how to cook simple delicious affordable meals,0.555,1085,88.08333333,160.1399719,0,0,0,53,503,337,56,24,28,31,17,8
In the green kitchen techniques to learn by heart,0.563,1073,86.75,130.1503501,0,0,0,0,445,220,118,93,61,49,29,26
Super natural every day well loved recipes from my natural foods kitchen,0.5636,1072,86.16666667,110.7526592,0,0,0,0,0,350,222,165,103,95,65,34
Fresh from the vegetarian slow cooker 200 recipes for healthy and hearty one pot meals that are ready when you are,0.5636,1061,87.41666667,68.52399491,131,120,142,175,211,105,45,43,26,19,20,12
BabyCakes vegan gluten free and mostly sugar free recipes from New Yorks most talked about bakery,0.5638,1053,86.33333333,111.5040426,0,0,0,263,327,185,96,54,49,25,23,14
Moosewood Restaurant simple suppers fresh ideas for the weeknight table,0.555,1049,86.83333333,82.41892251,258,149,177,145,126,73,37,30,16,11,14,6
best 30 minute recipe a best recipe classic,0.555,1049,86.91666667,82.12236805,21,172,249,188,144,107,43,39,31,26,14,9
flavor bible the essential guide to culinary creativity based on the wisdom of Americas most Imaginative chefs,0.5,1046,86.58333333,87.72110592,0,0,50,279,234,139,78,49,69,60,46,35
Slow cooker revolution one test kitchen 30 slow cookers 200 amazing recipes,0.5884,1028,83.5,89.01327787,0,0,0,0,0,248,164,150,183,133,85,39
