title,Dewey,Counts,Average,Standard Dev,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tates Bake Shop cookbook the best recipes from Southamptons favorite bakery for home style cookies cakes pies muffins and breads,0.815,118,9.5,8.295672475,22,11,16,15,21,14,9,6,0,0,0,0
New York Times chicken cookbook,0.665,118,9.583333333,7.902339508,28,12,16,17,8,11,8,6,5,2,1,1
Cuisine for whole health recipes for a sustainable life,0.563,118,9.666666667,12.99183893,0,0,0,0,42,20,17,19,10,8,0,0
supper of the lamb a culinary reflection,0.5,118,9.416666667,9.039894743,7,5,5,11,34,16,7,10,13,3,2,0
Food of life a book of ancient Persian and modern Iranian cooking and ceremonies,0.5955,118,9.833333333,11.97598607,10,24,18,37,17,8,4,0,0,0,0,0
Secrets of the sommeliers how to think and drink like the worlds top wine professionals,0.22,118,9.666666667,13.78624699,0,0,0,0,14,48,17,16,9,9,2,1
Cooking with Trader Joes cookbook easy lunch boxes,0.53,118,9.833333333,18.49242269,0,0,0,0,0,0,0,0,0,53,33,32
Death by chocolate cakes an astonishing array of chocolate enchantments,0.8653,118,9.583333333,10.84148877,24,29,18,20,14,7,3,0,0,0,0,0
feast of ice and fire the official companion cookbook,0.59,118,9.833333333,12.55412524,0,0,0,0,0,0,28,33,26,14,10,7
Danielle Walkers Against all grain celebrations a year of gluten free dairy free and Paleo recipes for every occasion,0.568,118,9.833333333,23.52883466,0,0,0,0,0,0,0,0,0,0,47,71
Aroma,0.5,118,9.666666667,9.920899275,18,19,27,21,13,12,6,0,0,0,0,0
Green kitchen travels,0.5636,118,9.833333333,16.85140045,0,0,0,0,0,0,0,0,14,52,30,22
Nobus vegetarian cookbook,0.5636,118,9.833333333,11.769246,0,0,0,0,0,0,24,33,23,15,12,11
Vegan casseroles pasta bakes gratins pot pies and more,0.5636,118,9.833333333,16.2527387,0,0,0,0,0,0,0,0,10,43,34,31
great curries of India,0.5954,118,9.583333333,8.084309532,13,20,17,23,18,6,6,3,2,4,3,0
Roccos 5 minute flavor,0.555,118,9.666666667,11.84239943,40,20,17,12,13,7,1,3,1,1,1,0
better bean cookbook more than 160 modern recipes for beans chickpeas and lentils to tempt meat eaters and vegetarians alike,0.6565,118,9.833333333,15.7123769,0,0,0,0,0,0,0,0,40,36,28,14
use it up cookbook creative recipes for the frugal cook,0.552,118,9.666666667,10.58586822,22,11,24,20,27,5,4,1,1,1,0,0
About professional baking the essentials,0.815,118,9.583333333,12.12404323,5,32,29,20,20,3,4,0,0,2,0,0
anti inflammatory diet action plans 4 week meal plans to heal the immune system and restore overall health,0.5631,118,9.833333333,23.02896727,0,0,0,0,0,0,0,0,0,0,63,55
Kale the complete guide to the worlds most powerful superfood,0.65347,118,9.833333333,19.8486699,0,0,0,0,0,0,0,17,68,23,6,4
new American chef cooking with the best of flavors and techniques from around the world,0.59,118,9.666666667,11.84239943,19,11,39,23,7,5,7,2,2,0,1,0
Easy indian cooking 101 fresh feisty indian recipes,0.5954,117,9.75,12.52724304,0,0,0,0,0,0,8,33,25,27,18,6
veggie lovers Sriracha cookbook 50 vegan rooster sauce recipes that pack a punch,0.5636,117,9.75,15.02800416,0,0,0,0,0,0,0,42,37,14,14,10
Foolproof freezer cookbook prepare ahead meals stress free entertaining making the most of excess fruits and vegetables feeding the family the modern way,0.555,117,9.75,13.89653325,0,0,0,0,0,0,8,38,34,21,12,4
Not your mothers microwave cookbook fresh delicious and wholesome main dishes snacks sides desserts and more,0.5882,117,9.333333333,12.45598311,0,0,0,0,40,28,12,9,7,7,6,3
Scandinavian baking loving baking at home,0.81509,117,9.75,20.9767187,0,0,0,0,0,0,0,0,0,11,64,42
empire of tea the remarkable history of the plant that took over the world,0.3372,117,9.583333333,8.554194435,19,21,19,22,10,11,4,2,4,1,1,1
French cooking in ten minutes or Adapting to the rhythm of modern life 1930,0.555,117,9.5,13.53446778,9,6,10,16,22,46,5,0,0,0,0,0
Malaysian kitchen explore the exquisite food and cooking of Malaysia with 80 superb recipes shown step by step in more than 350 beautiful photographs,0.59595,117,9.416666667,11.50065874,0,0,0,0,0,36,23,20,9,8,10,7
Tillamook cheese cookbook celebrating 100 years of excellence,0.373,117,9.5,12.47178634,0,0,26,41,11,13,10,2,5,3,3,0
village baker classic regional breads from Europe and America,0.815,117,9.583333333,10.60410155,18,11,17,26,27,14,2,0,0,0,0,0
Cai Lan guang cai lan,0.013,117,9.75,13.10187356,0,0,0,0,33,37,19,12,3,5,4,4
A O C cookbook,0.5973,117,9.75,17.86884032,0,0,0,0,0,0,0,15,59,29,9,5
Mary Poppins in the kitchen a cookery book with a story,0.5123,117,9.583333333,10.55253811,0,0,0,0,0,31,16,14,24,13,12,5
Vegan gourmet recipes for entertaining 90 imaginative recipes that are perfect for special occasions from sumptuous soups and appetizers to main courses sides and desserts shown in 300 step by step photographs,0.5636,117,9.75,13.09493309,0,0,0,0,0,4,37,26,26,16,5,3
bakers field guide to holiday candy confections sweet treats all year long,0.853,117,9.5,11.51678617,29,16,30,16,15,8,0,0,0,0,0,0
Cook what you love simple flavorful recipes to make again and again,0.5,117,9.166666667,11.62937764,36,24,17,13,12,4,1,1,2,0,0,0
Mediterranean street foods stories soups snacks sandwiches barbecues sweets and more from Europe North Africa and the Middle East,0.59118,117,9.666666667,10.10250494,14,25,12,26,15,19,4,1,0,0,0,0
Comfort me with apples more adventures at the table,0.5092,117,9.583333333,10.13058675,19,10,17,33,18,3,1,0,2,5,2,5
How to bake,0.815,117,9.75,12.29282866,0,0,0,0,0,0,0,23,17,28,25,24
Robertos new vegan cooking 125 easy delicious and real food recipes,0.5636,117,9.75,18.50368514,0,0,0,0,0,0,0,0,0,51,41,25
Ready steady spaghetti cooking for kids and with kids,0.5123,117,9.416666667,12.22113172,0,0,0,0,36,32,10,12,7,7,6,3
Eating in the middle a mostly wholesome cookbook,0.3,117,9.75,26.22325477,0,0,0,0,0,0,0,0,0,0,89,28
Cuisines of the axis of evil and other irritating states a dinner party approach to international relations,0.59,117,9.583333333,13.93137945,0,0,39,33,22,10,5,4,0,1,0,1
Smoking food a beginners guide,0.49,117,9.416666667,11.61862403,0,0,3,40,16,20,7,13,4,5,5,0
Fa mian jiu shi yao zhe yang zuo,0.815,117,9.75,11.29863226,0,0,0,0,0,19,23,32,19,13,10,1
food of Vietnam authentic recipes from the heart of Indochina,0.59597,117,9.75,7.95584405,12,13,15,22,14,23,7,3,4,4,0,0
30 minute vegetarian Thai cookbook,0.5636,117,9.666666667,8.988207763,22,20,19,12,22,6,4,9,2,0,0,0
Good housekeeping light healthy cooking 250 delicious satisfying guilt free recipes,0.56384,117,9.75,12.20376246,0,0,0,0,0,0,33,30,17,14,16,7
Eleven Madison Park the cookbook,0.59747,117,9.75,13.08798894,0,0,0,0,0,10,45,20,16,12,8,6
Taste of home soups,0.813,117,9.75,12.93427441,0,0,0,0,0,0,0,34,28,22,14,19
Mac cheese 80 classic creative versions of the ultimate comfort food,0.822,117,9.75,14.8392906,0,0,0,0,0,0,0,45,28,23,9,12
I loved I lost I made spaghetti a memoir,0.5945,116,9.25,17.13117838,0,0,0,62,13,9,6,6,7,6,2,0
Taste pure and simple irresistible recipes for good food and good health,0.5,116,9.583333333,12.04882743,33,12,27,24,11,6,2,0,0,0,0,0
Food catering private chefs careers in food,0.5023,116,9.583333333,11.6498797,0,0,0,20,27,32,14,14,7,1,0,0
Land of fish and rice recipes from the culinary heart of China,0.5951,116,9.666666667,24.61460517,0,0,0,0,0,0,0,0,0,0,35,81
everyday Ayurveda cookbook a seasonal guide to eating and living well,0.5636,116,9.666666667,21.75622516,0,0,0,0,0,0,0,0,0,6,66,44
Deep dark chocolate decadent recipes for the serious chocolate lover,0.6374,116,9.166666667,11.34446868,0,0,26,35,16,13,5,7,2,4,2,0
Cupcake Cafe cookbook,0.815,116,9.583333333,10.67246528,15,28,24,24,11,8,2,2,1,0,0,0
Dumplings all day Wong a cookbook of Asian delights from a top chef,0.59,116,9.666666667,15.91073585,0,0,0,0,0,0,0,0,35,44,24,13
Cooking light Italian,0.5945,116,9.25,11.63165743,0,0,11,32,32,16,7,4,4,1,2,2
Cook this not that skinny comfort foods,0.5,116,9.666666667,14.38012096,0,0,0,0,0,0,0,44,27,21,13,11
Herb Society of Americas essential guide to growing and cooking with herbs,0.357,116,8.833333333,11.06044002,0,6,40,17,14,3,8,7,1,5,3,2
Real food fake food why you dont know what youre eating what you can do about it,0.3,116,9.666666667,22.72096882,0,0,0,0,0,0,0,0,0,0,52,64
Ice cream delicious ice creams for all occasions,0.862,116,9.416666667,10.16641828,23,16,19,21,23,9,2,0,0,0,0,0
Farm to fork cooking local cooking fresh,0.5973,116,9.5,16.8496021,0,0,0,0,59,20,10,10,10,5,0,0
Tried true Thanksgiving Christmas top 200 recipes,0.568,116,9.416666667,9.82074181,19,17,26,18,20,7,1,5,0,0,0,0
Chinese kitchen recipes techniques ingredients history and memories from Americas leading authority on Chinese cooking,0.5951,116,9.5,9.424339861,6,14,17,33,12,15,6,4,5,2,0,0
Movable feasts the history science and lore of food,0.3,116,9.583333333,12.59479209,0,26,28,33,12,12,3,1,0,0,0,0
wines of Burgundy,0.22094,116,9.25,8.280590668,0,0,27,19,19,10,6,7,7,4,8,4
Bistro Laurent Tourondel new American bistro cooking,0.5973,116,9.25,13.66565037,0,0,44,23,21,9,9,3,2,0,0,0
Silk road cooking a vegetarian journey,0.5636,116,9.666666667,11.16270848,0,0,0,0,0,0,32,21,20,17,13,13
Southwest flavors Santa Fe School of Cooking,0.5979,116,9.5,9.876510241,22,19,22,16,20,13,1,1,0,0,0,0
Julia Child rules lessons on savoring life,0.5092,116,9.666666667,13.83232928,0,0,0,0,0,0,0,26,42,19,16,13
Grill it recipes techniques tools,0.5784,116,9.333333333,15.03531197,0,0,54,19,8,6,8,7,2,6,1,1
Ploughmans lunch and the misers feast authentic pub food restaurant fare and home cooking from small towns big cities and country villages across the British Isles,0.5942,116,9.666666667,12.83697312,0,0,0,0,0,0,40,25,16,17,10,8
complete beer course boot camp for beer geeks from novice to expert in twelve tasting classes,0.23,116,9.666666667,15.2395021,0,0,0,0,0,0,0,13,47,31,16,9
Simply salmon,0.692,116,9.5,10.30886644,23,13,20,28,17,8,4,1,0,0,0,0
100 greatest Cajun recipes,0.59763,116,9.5,7.960127911,12,20,11,21,21,12,8,2,4,1,2,0
afternoon tea collection,0.53,116,9.666666667,13.43220914,0,0,0,0,0,0,0,13,40,24,20,19
In the heat of the kitchen,0.5942,116,9.583333333,11.04090192,25,21,24,24,14,5,2,0,0,0,0,0
Bread revolution world class baking with sprouted whole grains heirloom flours fresh techniques,0.815,116,9.666666667,15.43510364,0,0,0,0,0,0,0,0,15,42,32,27
complete idiots guide to being vegetarian,0.5636,116,9.25,14.75943458,0,0,0,49,27,13,8,5,5,3,1,0
Cook without a book meatless meals recipes and techniques for part time and full time vegetarians,0.5636,116,9.666666667,12.3091491,0,0,0,0,0,0,13,37,19,23,18,6
Maida Heatters cookies,0.8654,116,9.333333333,13.56689375,0,0,0,0,0,48,14,14,13,12,5,6
Fusion food in the vegan kitchen 125 comfort food classics reinvented with an ethnic twist,0.5636,116,9.583333333,16.37325054,0,0,0,0,0,0,0,0,52,25,19,19
Osteria hearty Italian fare from Rick Tramontos kitchen,0.5945,116,9.333333333,11.67229302,0,0,24,35,21,14,8,5,4,0,1,0
Fish forever the definitive guide to understanding selecting and preparing healthy delicious and environmentally sustainable seafood,0.692,116,9.25,15.70827807,0,3,53,25,14,9,4,2,1,0,0,0
square meal a culinary history of the Great Depression,0.5973,116,9.666666667,22.64080521,0,0,0,0,0,0,0,0,0,0,54,62
Skillet bread sourdough and vinegar pie cooking in pioneer days,0.5973,116,9.583333333,5.124953806,15,12,19,11,15,9,8,3,4,6,10,3
Pastry a master class for everyone in 150 photos and 50 recipes,0.865,116,9.666666667,14.33579965,0,0,0,0,0,0,0,28,43,22,11,12
Healthy cooking for two,0.5638,115,9.5,10.74074655,21,20,25,26,13,6,2,1,0,0,0,0
One spice two spice American food Indian flavors,0.5954,115,9.25,7.898503886,12,29,13,8,15,7,5,6,12,0,4,0
art of the cake modern French baking and decorating,0.8653,115,9.5,10.95859978,31,17,15,18,22,11,0,0,0,0,0,0
Chocolate chill out cake and other yummy desserts,0.86,115,9.333333333,11.79625005,0,0,28,34,19,8,12,8,1,0,1,1
Anna Gettys easy green organic cook well eat well live well,0.5636,115,9.166666667,16.88912148,0,0,0,0,57,26,11,9,3,1,3,0
Everyday paleo Thai cuisine authentic recipes made gluten free,0.59593,115,9.583333333,15.45937981,0,0,0,0,0,0,0,0,36,41,23,15
Come in were closed an invitation to staff meals at the worlds best restaurants,0.509,115,9.583333333,16.52248239,0,0,0,0,0,0,7,56,26,12,8,6
Artisanal cocktails drinks inspired by the seasons from the bar at Cyrus,0.874,115,9.25,14.79634476,0,0,10,47,30,14,2,3,4,0,1,0
Peimei chuang yi jia chang cai Creative Chinese home dishes,0.5951,115,9.416666667,10.58694164,0,21,27,19,19,18,9,0,0,0,0,0
food nanny rescues dinner easy family meals for every day of the week,0.555,115,9.083333333,12.24342743,0,0,16,32,34,12,2,2,5,5,1,0
Untrodden grapes,0.22,115,9.25,10.04648288,34,11,23,12,11,4,4,3,2,2,1,4
Semi homemade grilling,0.5784,115,9.333333333,10.80684407,16,21,33,17,15,4,2,1,0,3,0,0
backyard bartender 55 cool summer cocktails,0.874,115,9.333333333,10.37771505,0,30,26,19,12,8,5,7,3,1,1,0
Latin American street food the best flavors of markets beaches roadside stands from Mexico to Argentina,0.598,115,9.583333333,12.96469565,0,0,0,0,0,0,0,14,37,25,20,19
Dessert express 100 sweet treats you can make in 30 minutes or less,0.86,115,9,11.09463425,0,0,23,36,15,13,7,6,1,4,1,2
Artisan baking,0.815,115,9.583333333,12.92255487,0,0,0,0,0,11,40,29,15,10,6,4
Lodge cast iron nation great American cooking from coast to coast,0.77,115,9.583333333,15.45349818,0,0,0,0,0,0,0,0,40,32,31,12
Vegetable of the day 365 recipes for every day of the year,0.65,115,9.583333333,16.14963176,0,0,0,0,0,0,0,12,51,32,11,9
FARM food green living with Chef Daniel Orr,0.3,115,9.083333333,12.31745497,0,0,0,35,33,11,11,8,5,3,2,1
taste of Turkish cuisine,0.59561,115,9.25,7.817521114,13,10,19,18,17,19,9,3,2,1,0,0
working class foodies cookbook 100 delicious seasonal and organic recipes for under 8 per person,0.302,115,9.583333333,15.75066136,0,0,0,0,0,0,0,48,31,21,10,5
Simply suppers easy comfort food your whole family will love,0.54,115,9.333333333,14.8466913,0,0,0,0,0,52,16,17,10,9,6,2
Cucina Napoletana 100 recipes from Italys most vibrant city,0.5945,115,8.916666667,11.22868351,0,0,6,39,21,10,8,11,7,2,2,1
Eric Kaysers sweet and savory tarts,0.8652,115,9.5,9.811866656,0,0,5,29,20,24,14,5,3,5,3,6
Budget bytes over 100 easy delicious recipes to slash your grocery bill in half,0.552,115,9.583333333,17.75314739,0,0,0,0,0,0,0,0,56,30,22,7
Food folklore and art of lowcountry cooking a celebration of the foods history and romance handed down from England Africa the Caribbean France Germany and Scotland,0.5975,114,8.833333333,13.68365537,0,0,0,0,47,22,6,9,9,10,1,2
Modernist cuisine the art and science of cooking Volume 4 Ingredients and preparations,0.5,114,9.333333333,9.128709292,0,0,0,0,0,26,15,16,16,17,14,8
World vegan feast 200 fabulous recipes from over 50 countries,0.5636,114,9.5,15.51831762,0,0,0,0,0,0,49,29,19,10,5,2
Dining in the raw,0.5636,114,9,13.6648188,29,27,36,12,4,0,0,0,0,0,0,0
Good food to go healthy lunches your kids will love and actually eat,0.534,114,9.5,12.83815336,0,0,0,0,0,0,0,37,22,23,15,17
Backcountry cooking from pack to plate in 10 minutes,0.578,114,9.25,9.592847714,23,17,14,17,24,12,4,0,0,0,0,0
Naturally nourished healthy delicious meals made with everyday ingredients,0.5636,114,9.5,32.90896534,0,0,0,0,0,0,0,0,0,0,0,114
Noodles the new way,0.822,114,9.333333333,11.03163495,20,20,23,29,14,3,3,0,0,0,0,0
cheese chronicles a journey through the making and selling of cheese in America from field to farm to table,0.37309,114,9.083333333,17.5471227,0,0,0,44,48,10,6,1,0,0,0,0
Baking with Mary Berry,0.865,114,9.5,20.6507759,0,0,0,0,0,0,0,0,0,7,53,54
On food and cooking the science and lore of the kitchen,0.5,114,9.25,9.780546555,25,21,17,7,19,17,5,0,0,0,0,0
Modernist cuisine the art and science of cooking Volume 5 Plated dish recipes,0.5,114,9.333333333,10.03931665,0,0,0,0,0,31,21,13,14,13,13,7
Champagne how the worlds most glamorous wine triumphed over war and hard times,0.2224,114,9.416666667,10.21103087,27,22,14,22,12,13,1,2,0,0,0,0
We sure can how jams and pickles are reviving the lure and lore of local food,0.852,114,9.5,13.661492,0,0,0,0,0,17,38,33,12,13,1,0
One world kids cookbook,0.563,114,9.5,12.91581131,0,0,0,0,0,0,38,26,23,13,8,6
Zui shou huan yin de Chuan cai 100 dao,0.5951,114,9.5,11.39776693,0,0,26,31,22,17,7,6,4,1,0,0
joy of coffee the essential guide to buying brewing and enjoying,0.877,114,9.083333333,10.08561832,24,12,11,24,24,10,4,0,0,0,0,0
Vegetable basics 84 recipes illustrated step by step,0.65,114,8.75,13.03927633,0,0,0,0,0,43,19,19,13,6,3,2
Veselka cookbook recipes and stories from the landmark restaurant in New Yorks East Village,0.59477,114,9.166666667,13.89462508,0,0,0,21,47,20,3,4,4,3,4,4
Mayims vegan table more than 100 great tasting and healthy recipes from my family to yours,0.5636,114,9.5,17.27583704,0,0,0,0,0,0,0,0,56,25,22,11
Sweet Christmas homemade peppermints sugar cake chocolate almond toffee eggnog fudge and other sweet treats and decorations,0.5686,114,9.5,12.30299298,0,0,0,0,0,0,27,33,25,13,10,6
Bobby Flays Throwdown more than 100 recipes from Food Networks ultimate cooking challenge,0.5973,114,9.333333333,17.08978075,0,0,0,0,33,55,9,6,3,4,1,1
Will it waffle 53 unexpected and irresistible recipes to make in a waffle iron,0.3,114,9.5,17.32837925,0,0,0,0,0,0,0,0,30,55,19,10
Fresh and fast vegan pleasures more than 140 delicious creative recipes to nourish aspiring and devoted vegans,0.5636,114,9.166666667,12.05165649,38,21,22,11,9,5,3,1,0,0,0,0
Candy construction how to build edible race cars castles and other cool stuff out of store bought candy,0.86,114,8.833333333,12.03656047,0,0,0,0,10,40,20,18,8,5,4,1
Cooking Light real family food simple easy recipes your whole family will love,0.555,114,9.5,13.23562685,0,0,0,0,0,0,0,26,37,24,17,10
Cooks illustrated meat book the game changing guide that teaches you how to cook meat and poultry with 425 bulletproof recipes,0.66,114,9.5,19.25663994,0,0,0,0,0,0,0,0,13,66,21,14
good to go cookbook take along food quick suppers and satisfying snacks for on the go families,0.555,114,9.166666667,12.64791275,0,0,0,21,39,22,13,12,3,0,0,0
Cooking with children fifteen lessons for children age 7 and up who really want to learn to cook,0.5123,114,9.416666667,7.329372208,18,7,26,17,10,10,4,7,5,3,3,3
tale of 12 kitchens family cooking in four countries,0.5,114,9.166666667,12.3644162,0,39,23,13,19,9,5,2,0,0,0,0
top 100 health tips,0.563,114,8.833333333,14.31993736,0,0,41,33,18,9,4,1,0,0,0,0
Asian noodles deliciously simple dishes to twirl slurp and savor,0.822,114,9.25,10.97207198,18,22,15,24,27,3,2,0,0,0,0,0
Cookies to die for,0.8654,114,9.083333333,12.01860931,0,0,0,40,18,21,10,8,3,5,4,0
Josey Baker bread,0.815,114,9.5,15.23453016,0,0,0,0,0,0,0,0,45,25,25,19
Webers way to grill the step by step guide to expert grilling,0.5784,114,9.166666667,12.01388086,0,0,0,17,42,18,8,9,3,6,5,2
Paleo vegan plant based primal recipes,0.5636,114,9.5,16.23408311,0,0,0,0,0,0,0,0,41,43,16,14
Quick easy ketogenic cooking time saving paleo recipes and meal plans to improve your health and help you lose weight,0.5638,114,9.5,22.38709044,0,0,0,0,0,0,0,0,0,0,50,64
new seaweed cookbook a complete guide to discovering the deep flavors of the sea,0.6,114,9.25,9.468848447,0,0,7,33,20,14,12,6,7,5,4,3
In search of the perfect loaf a home bakers odyssey,0.815,114,9.5,16.4233758,0,0,0,0,0,0,0,0,30,51,18,15
Wine folly the essential guide to wine,0.22,113,9.416666667,19.91554137,0,0,0,0,0,0,0,0,0,19,65,29
prevent and reverse heart disease cookbook over 125 delicious life changing plant based recipes,0.56311,113,9.416666667,15.55318344,0,0,0,0,0,0,0,0,22,48,24,19
best of Vietnamese Thai cooking favorite recipes from Lemon Grass Restaurant and Cafes,0.59597,113,9.166666667,13.70357175,30,27,31,22,0,0,0,0,0,0,0,0
Holidays recipes gifts and decorations Thanksgiving Christmas,0.568,113,9.166666667,11.54306823,24,21,25,16,24,0,0,0,0,0,0,0
Savoring Spain Portugal recipes and reflections on Iberian cooking,0.5946,113,8.833333333,8.189054039,19,21,16,19,14,0,4,4,1,1,4,3
8 hour diet watch the pounds disappear without watching what you eat,0.5635,113,9.416666667,15.15650675,0,0,0,0,0,0,0,48,29,14,13,9
Making craft cider a ciderists guide,0.26,113,9.166666667,10.28532347,0,0,0,0,0,32,15,20,17,8,7,11
kids multicultural cookbook food fun around the world,0.59,113,9.166666667,9.77783517,14,22,24,24,11,10,1,1,2,1,0,0
unofficial Hunger Games cookbook from lamb stew to groosling more than 150 recipes inspired by the Hunger Games trilogy,0.5,113,9.333333333,16.132031,0,0,0,0,0,0,53,25,19,10,3,2
bonne cuisine de Madame E Saint Ange the original companion for French home cooking,0.5944,113,9.083333333,10.41378748,27,20,16,10,25,8,3,0,0,0,0,0
Crumb the baking book,0.815,113,9.416666667,17.58852071,0,0,0,0,0,0,0,0,0,49,29,35
Making the best of basics family preparedness handbook,0.3,113,9.333333333,10.30739658,3,16,19,19,32,13,4,3,3,0,0,0
ultimate candy book more than 700 quick and easy soft and chewy hard and crunchy sweets and treats,0.853,113,9.083333333,10.31731407,11,27,21,24,13,11,2,0,0,0,0,0
Haliimaile General Store cookbook home cooking from Maui,0.59969,113,9.083333333,9.059985283,20,8,13,30,17,4,1,3,4,2,4,3
Flour water pasta,0.822,113,9.416666667,18.74449414,0,0,0,0,0,0,0,0,20,64,17,12
Princess tea parties and treats for little girls,0.568,113,9.416666667,9.87612671,0,0,0,8,30,21,17,17,11,1,4,4
How to make love and dinner at the same time 200 slow cooker recipes to heat up the bedroom instead of the kitchen,0.5884,113,9.083333333,12.17641784,30,22,31,14,8,4,0,0,0,0,0,0
Good mood food simple healthy homecooking,0.563,113,9.25,12.1440221,0,0,0,0,34,30,16,16,7,4,0,4
Cooking the Israeli way,0.59569,113,9,5.984829306,11,15,19,13,15,7,5,10,9,3,1,0
Cooking from the heart of Spain food of La Mancha,0.5946,113,9.25,8.147782744,24,9,21,18,14,5,8,3,2,1,6,0
Sushi food for the eye the body the soul,0.692,113,9.083333333,16.40653048,0,0,0,0,59,14,7,12,6,4,2,5
Mini cakes tiny treats to surprise delight,0.8653,113,9.333333333,11.20335448,0,0,0,0,9,37,21,18,11,7,5,4
cooks book techniques and tips from the worlds master chefs,0.5,113,9.166666667,9.627926552,30,20,19,11,10,9,7,4,0,0,0,0
Spice recipes to delight the senses,0.6383,113,9.166666667,11.10964637,0,7,36,21,17,7,15,3,2,2,0,0
Gourmet gifts 100 delicious recipes for every occasion to make yourself wrap with style,0.5,113,9.416666667,12.5441644,0,0,0,0,0,6,38,29,17,7,10,6
21 day tummy the revolutionary diet that soothes and shrinks any belly fast,0.5635,113,9.416666667,17.77873261,0,0,0,0,0,0,0,4,58,31,10,10
Fagioli the bean cuisine of Italy,0.6565,113,9.333333333,8.260897302,15,13,22,24,16,6,4,4,2,2,3,1
elements of taste,0.013,113,9.166666667,9.023538243,19,24,27,9,6,8,5,3,2,1,3,3
How to grill,0.76,113,9.25,10.53241749,22,23,11,23,22,10,0,0,0,0,0,0
Young and hungry,0.5,113,9.166666667,10.39084679,30,23,19,16,9,7,4,2,0,0,0,0
Chew whats for dinner 100 easy recipes for every night of the week,0.5973,113,9.416666667,14.4879783,0,0,0,0,0,0,0,26,44,24,11,8
Comfort food diet cookbook,0.5635,113,9.083333333,16.22824885,0,0,0,0,55,23,16,6,5,4,0,0
Talking with my mouth full crab cakes bundt cakes and other kitchen stories,0,113,8.5,14.08093489,5,50,16,13,6,7,3,2,0,0,0,0
Root to leaf a southern chef cooks through the seasons,0.65,113,9.416666667,21.91910057,0,0,0,0,0,0,0,0,0,74,27,12
easy pressure cooker cookbook more than 300 recipes for soups sides main dishes sauces desserts baby food,0.587,113,9.416666667,10.70648345,0,0,0,0,0,0,23,28,21,15,15,11
Best green drinks ever boost your juice with antioxidants protein and more,0.875,113,9.416666667,17.5471227,0,0,0,0,0,0,0,0,55,33,16,9
Cured salted spiced dried smoked potted pickled raw,0.4,112,9.166666667,11.21551955,0,0,0,0,8,34,23,21,11,8,4,1
Christmas gifts of good taste over 200 recipes crafts,0.568,112,9,6.993503479,13,23,17,16,12,4,5,6,5,4,2,1
Food for tots the complete guide to feeding preschoolers including 100 kid tested recipes,0.5622,112,9.166666667,10.17870623,17,16,19,13,32,4,5,2,0,2,0,0
first mess cookbook vibrant plant based recipes to eat well through the seasons,0.5636,112,9.333333333,32.33161507,0,0,0,0,0,0,0,0,0,0,0,112
Modern Caribbean cuisine,0.59729,112,9.083333333,9.394953513,0,28,19,18,18,11,3,5,2,1,2,2
New World Provence modern French cooking for friends and family,0.59449,112,8.916666667,15.22831295,0,0,54,17,13,9,2,5,1,4,2,0
Simply salmon,0.692,112,8.833333333,10.6500818,31,24,15,16,11,6,3,0,0,0,0,0
Double take one fabulous recipe two finished dishes feeding vegetarians and omnivores together,0.5,112,8.833333333,21.89575855,0,0,0,0,76,19,8,3,0,0,0,0
100 recipes the absolute best ways to make the true essentials,0.5,112,9.333333333,19.5649656,0,0,0,0,0,0,0,0,0,22,64,26
cooks complete guide to spices an illustrated directory to spices from around the world and how to use them in the kitchen with 700 photographs,0.3383,112,9,13.34847625,0,0,0,0,0,44,20,21,9,4,7,3
New tastes in green tea a novel flavor for familiar drinks dishes and desserts,0.3372,112,9,8.224133002,19,22,19,14,13,10,4,2,5,0,0,0
Maison du Chocolat timeless classics with a twist,0.63,112,8.916666667,14.44398795,0,0,0,34,42,15,8,6,2,0,0,0
Black beans and lamb poached eggs and ham what is in the meat and beans group,0.306,112,9.333333333,10.1742396,0,0,0,0,1,21,19,24,25,8,10,4
Kurikaeshi tsukuritai okazu ketteiban reshipi 300,0.5952,112,9.25,7.085516598,22,18,15,12,10,14,8,5,2,3,2,0
Toro Bravo stories recipes no bull or the making breaking and riding of a bull,0.5946,112,9.333333333,18.34682699,0,0,0,0,0,0,0,7,64,19,11,11
perfect afternoon tea recipe book more than 160 classic recipes for sandwiches pretty cakes and bakes biscuits bars pastries cupcakes celebration cakes and glorious gÃ†Â’teaux,0.53,112,9.333333333,13.16561177,0,0,0,0,0,6,39,31,15,13,6,2
face on your plate the truth about food,0.306,112,8.75,16.04043187,0,0,0,55,20,13,12,3,1,1,0,0
Healthy juices for healthy kids over 70 juice and smoothie recipes for kids of all ages,0.875,112,9,10.51405985,0,0,0,0,7,30,23,18,18,6,5,1
All time favorite gifts from the kitchen,0.568,112,8.583333333,9.71838308,23,21,22,19,9,3,3,3,0,0,0,0
Chef on a shoestring more than 120 delicious easy on the budget recipes from Americas best chefs,0.552,112,9.166666667,13.40850024,20,22,43,12,10,3,0,0,0,0,0,0
Walk around tacos and other likeable lunches,0.53,112,8.833333333,6.939129279,0,0,11,14,25,8,15,5,8,9,4,7
Americas best slow cooker recipes,0.5884,112,9.083333333,12.23600004,23,18,34,22,12,0,0,0,0,0,0,0
Sattwa cafÃ¢Â€Âš,0.563,112,9.083333333,13.31750955,0,8,38,24,28,8,3,0,0,0,0,0
