title,deweyClass,Counts,STD,Average,2006-1,2006-2,2006-3,2006-4,2006-5,2006-6,2006-7,2006-8,2006-9,2006-10,2006-11,2006-12,2007-1,2007-2,2007-3,2007-4,2007-5,2007-6,2007-7,2007-8,2007-9,2007-10,2007-11,2007-12,2008-1,2008-2,2008-3,2008-4,2008-5,2008-6,2008-7,2008-8,2008-9,2008-10,2008-11,2008-12,2009-1,2009-2,2009-3,2009-4,2009-5,2009-6,2009-7,2009-8,2009-9,2009-10,2009-11,2009-12,2010-1,2010-2,2010-3,2010-4,2010-5,2010-6,2010-7,2010-8,2010-9,2010-10,2010-11,2010-12,2011-1,2011-2,2011-3,2011-4,2011-5,2011-6,2011-7,2011-8,2011-9,2011-10,2011-11,2011-12,2012-1,2012-2,2012-3,2012-4,2012-5,2012-6,2012-7,2012-8,2012-9,2012-10,2012-11,2012-12,2013-1,2013-2,2013-3,2013-4,2013-5,2013-6,2013-7,2013-8,2013-9,2013-10,2013-11,2013-12,2014-1,2014-2,2014-3,2014-4,2014-5,2014-6,2014-7,2014-8,2014-9,2014-10,2014-11,2014-12,2015-1,2015-2,2015-3,2015-4,2015-5,2015-6,2015-7,2015-8,2015-9,2015-10,2015-11,2015-12,2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12
Fresh from the vegetarian slow cooker 200 recipes for healthy and hearty one pot meals that are ready when you are,641.5636,1061,6.716708312,7.284722222,11,15,11,7,12,9,11,10,5,17,15,8,6,15,12,11,10,7,4,6,7,12,13,17,15,10,7,21,15,10,10,6,8,8,16,16,20,18,20,18,16,15,9,7,7,8,14,23,23,24,32,26,18,9,19,4,11,14,21,10,22,16,16,10,7,6,6,4,1,5,4,8,6,5,4,4,5,2,1,3,4,3,5,3,5,3,3,2,6,2,1,5,4,5,4,3,3,5,3,0,2,2,1,0,2,2,3,3,0,1,1,1,3,1,1,2,2,2,3,2,4,2,3,2,2,2,0,2,1,0,1,1,1,1,0,2,1,0,1,1,0,1,2,2
Vegan with a vengeance over 150 delicious cheap animal free recipes that rock,641.5636,1015,7.46923241,6.972222222,0,0,14,12,10,13,12,2,9,19,17,6,5,17,19,15,17,16,14,19,13,8,9,20,16,15,19,28,18,17,34,16,31,17,11,15,18,19,6,24,24,19,18,12,9,18,14,12,9,11,13,15,8,14,6,7,7,11,8,9,9,3,12,5,7,10,4,2,0,6,3,2,4,4,2,1,4,4,0,3,1,6,2,0,4,0,1,3,3,3,4,2,4,3,3,0,3,1,3,2,1,0,3,1,2,2,0,3,0,1,1,2,3,2,2,1,1,0,1,0,0,0,2,2,1,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
How to grow more vegetables and fruits nuts berries grains and other crops than you ever thought possible on less land than you can imagine a primer on the life giving Grow Biointensive method of sustainable horticulture,635,1001,8.686052261,6.881944444,0,0,0,0,0,0,0,0,0,0,0,0,5,10,13,7,11,10,13,16,8,4,15,6,18,15,12,17,21,30,26,29,27,17,8,9,21,26,25,31,21,23,23,31,14,15,26,9,19,25,18,15,23,23,18,11,15,5,11,9,12,14,18,14,3,14,4,8,4,1,2,2,5,2,4,2,5,5,5,3,3,3,0,1,3,2,2,4,2,2,1,4,2,3,2,0,2,1,2,3,2,3,1,1,0,0,0,1,0,0,1,0,2,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backyard homestead,641,982,11.0342561,6.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,30,51,20,27,33,20,11,17,26,40,33,51,34,27,47,30,19,15,21,16,28,27,25,22,15,11,15,15,6,7,4,7,8,5,9,5,5,7,6,6,4,8,4,0,5,3,5,4,1,3,7,3,2,2,0,0,6,2,4,2,4,3,4,3,4,0,0,1,4,1,2,3,2,3,2,0,2,1,0,2,1,0,2,2,1,1,1,0,3,2,1,0,0,1,1,4,0,1,1,3,2,1,2,0
Gardening when it counts growing food in hard times,635,947,7.865072337,6.472222222,0,0,0,0,11,1,11,23,12,17,15,6,4,12,11,6,4,10,10,15,10,4,11,6,13,11,17,19,15,29,22,12,23,12,27,12,17,12,10,34,28,20,32,17,26,14,10,6,13,18,21,15,22,14,10,6,4,8,6,10,5,12,15,13,5,2,4,2,1,2,1,2,3,5,2,3,1,4,1,2,0,1,2,1,3,1,2,4,2,4,2,1,2,1,1,1,3,2,0,2,0,2,1,2,0,2,1,0,0,1,1,2,1,2,0,1,1,1,1,1,0,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
Small plot high yield gardening grow like a pro save money and eat well from your front or back or side yard 100% organic produce garden,635,945,11.39466471,6.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,73,54,51,35,30,21,7,14,30,11,24,24,37,31,31,25,20,6,10,8,4,6,6,12,14,14,12,8,7,5,3,4,1,3,6,6,13,9,8,9,4,5,6,3,5,1,4,8,6,8,12,3,3,1,1,3,1,1,5,6,4,5,4,1,3,1,0,0,1,2,5,6,7,4,2,3,2,2,1,1,0,2,2,1,2,4,1,9,0,2,1,0,1,0
best light recipe a best recipe classic,641.5635,925,6.393409097,6.361111111,0,0,0,0,11,13,17,15,29,22,22,6,6,13,27,21,13,10,15,19,9,20,17,9,21,14,8,15,11,14,8,15,11,16,11,9,17,12,6,10,10,9,5,12,9,8,10,15,15,1,6,9,19,8,8,8,2,11,7,11,11,13,9,7,14,4,7,3,5,5,5,4,3,6,4,2,2,3,5,2,2,7,5,2,3,3,3,3,3,4,8,2,4,1,4,3,3,3,3,1,1,1,2,2,1,3,5,1,1,3,1,1,1,1,0,2,1,1,0,2,2,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
gourmet vegetarian slow cooker simple and sophisticated meals from around the world,641.5636,907,11.22061041,6.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,38,41,43,43,39,31,37,33,31,36,28,26,50,29,32,20,4,8,6,11,8,9,13,9,9,8,8,11,0,9,5,11,4,6,9,10,5,1,4,5,3,9,2,7,5,9,3,2,3,2,1,1,0,5,2,5,5,5,5,1,0,2,2,1,1,1,1,2,3,0,1,2,0,1,0,2,1,3,2,4,3,2,1,5,1,1,2,1,0,1,1,1,0
Vegan cupcakes take over the world 75 dairy free recipes for cupcakes that rule,641.5636,893,7.586995453,6.104166667,0,0,0,0,0,0,0,0,0,0,0,0,0,8,28,18,10,14,21,14,14,18,13,10,19,15,19,10,19,12,7,18,22,31,23,13,24,17,12,21,28,17,30,12,4,9,17,8,13,4,11,11,19,15,14,13,9,9,11,3,11,3,15,4,13,11,4,2,2,0,2,3,2,1,0,1,2,1,1,4,5,2,3,0,4,2,2,3,1,4,0,2,0,3,3,1,1,2,2,2,2,2,1,2,3,2,0,0,0,1,0,1,1,4,0,1,0,3,1,0,0,2,2,1,1,0,3,1,2,0,2,1,0,1,1,1,0,2,1,2,1,0,0,0
South Beach diet cookbook,641.5635,888,6.365685373,6.097222222,21,5,20,17,21,14,15,22,14,5,2,7,11,14,22,9,22,11,11,7,11,6,6,5,13,7,14,9,11,13,8,4,10,9,15,8,8,8,12,21,8,8,4,14,3,11,7,6,9,13,11,5,18,16,18,5,12,4,11,10,27,7,14,26,11,0,5,4,4,2,1,6,4,2,8,2,4,1,4,3,3,2,2,2,6,3,3,3,2,1,1,4,2,2,0,1,2,2,1,1,0,1,3,1,2,1,0,1,3,1,0,1,0,1,2,1,0,1,0,2,1,2,0,1,0,1,1,1,3,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0
conscious cook delicious meatless recipes that will change the way you eat,641.5636,820,11.18226609,5.576388889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,30,55,52,40,43,47,45,48,41,26,21,13,10,14,16,15,9,15,11,12,3,7,4,7,7,6,7,7,10,4,5,6,6,3,3,10,2,5,8,6,7,7,5,4,2,7,6,3,5,4,3,4,2,3,1,2,2,0,2,2,2,0,6,1,0,1,4,1,1,2,0,4,0,4,5,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,2,0,0,2,0,0,0
VB6 eat vegan before 600 to lose weight and restore your health for good the flexible diet you can really stick to with more than 60 easy delicious recipes,641.5636,798,10.07237793,5.541666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,37,37,38,34,38,29,32,36,29,37,30,27,21,25,24,16,17,15,13,15,11,8,12,7,13,7,7,11,10,7,9,10,8,11,6,5,5,6,8,3,5,4,2,4,3,2,3,4,3,6,2,4,3,9,6
complete book of raw food healthy delicious vegetarian cuisine made with living foods includes over 375 recipes from the worlds top raw food chefs,641.5636,798,7.381701057,5.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,19,20,14,19,30,29,24,18,30,19,20,10,7,13,14,14,12,19,24,15,14,8,13,4,19,8,17,20,17,21,16,13,14,8,7,3,6,8,4,5,4,4,6,4,5,4,3,6,4,3,1,9,4,5,6,2,3,3,5,4,3,2,2,1,6,2,1,1,2,2,3,3,3,2,1,3,0,0,2,1,2,2,2,0,1,0,0,0,2,2,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
edible front yard the mow less grow more plan for a beautiful bountiful garden,635,764,8.797710971,5.076388889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,43,43,37,30,14,23,19,14,12,10,14,19,20,16,14,13,6,10,8,2,1,8,13,12,18,13,8,3,7,8,4,4,4,7,7,11,12,10,8,5,4,10,7,3,1,9,4,7,10,4,4,13,8,5,5,4,5,1,7,6,1,3,2,2,3,2,2,0,0,0,2,2,2,3,3,1,1,0,1,0,0
Raw food real world 100 recipes to get the glow,641.5636,753,5.162604614,5.180555556,7,9,9,6,7,7,9,11,13,12,6,7,6,5,7,18,12,18,6,10,9,8,13,10,10,16,3,8,27,9,17,13,14,12,19,7,12,9,12,10,7,14,10,15,7,14,13,6,12,8,5,9,9,5,1,10,8,3,10,5,7,8,3,8,8,4,6,5,1,2,1,1,1,0,1,2,3,3,6,0,6,1,1,6,4,4,2,2,2,1,3,1,2,1,3,3,3,2,2,0,3,1,4,1,2,1,2,0,1,1,0,0,2,0,1,1,2,1,0,1,0,0,1,1,2,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
