title,deweyClass,Counts,STD,Average,2006-1,2006-2,2006-3,2006-4,2006-5,2006-6,2006-7,2006-8,2006-9,2006-10,2006-11,2006-12,2007-1,2007-2,2007-3,2007-4,2007-5,2007-6,2007-7,2007-8,2007-9,2007-10,2007-11,2007-12,2008-1,2008-2,2008-3,2008-4,2008-5,2008-6,2008-7,2008-8,2008-9,2008-10,2008-11,2008-12,2009-1,2009-2,2009-3,2009-4,2009-5,2009-6,2009-7,2009-8,2009-9,2009-10,2009-11,2009-12,2010-1,2010-2,2010-3,2010-4,2010-5,2010-6,2010-7,2010-8,2010-9,2010-10,2010-11,2010-12,2011-1,2011-2,2011-3,2011-4,2011-5,2011-6,2011-7,2011-8,2011-9,2011-10,2011-11,2011-12,2012-1,2012-2,2012-3,2012-4,2012-5,2012-6,2012-7,2012-8,2012-9,2012-10,2012-11,2012-12,2013-1,2013-2,2013-3,2013-4,2013-5,2013-6,2013-7,2013-8,2013-9,2013-10,2013-11,2013-12,2014-1,2014-2,2014-3,2014-4,2014-5,2014-6,2014-7,2014-8,2014-9,2014-10,2014-11,2014-12,2015-1,2015-2,2015-3,2015-4,2015-5,2015-6,2015-7,2015-8,2015-9,2015-10,2015-11,2015-12,2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12
raw gourmet,641.5637,121,1.461215101,0.840277778,4,1,4,5,0,2,3,2,1,6,1,0,1,0,3,3,0,2,6,5,1,3,4,2,3,6,1,2,0,2,2,2,2,3,0,3,3,2,2,0,0,4,0,0,1,1,0,2,0,0,0,0,3,0,0,0,0,1,1,1,2,0,2,1,5,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gardening with heirloom seeds tried and true flowers fruits and vegetables for a new generation,635,121,1.556982293,0.826388889,0,0,0,0,0,0,3,10,4,2,0,0,0,1,2,0,0,0,1,4,6,4,0,2,0,2,5,4,1,0,4,2,0,2,0,0,4,2,6,2,1,0,2,1,1,2,0,0,1,7,1,0,0,1,1,0,3,0,0,0,1,0,0,1,0,0,0,1,0,2,0,0,1,0,2,0,1,2,0,0,0,1,1,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
Vegetarian Thai,641.5636,121,1.353575943,0.833333333,2,3,1,0,2,1,2,1,8,3,0,1,3,4,0,2,0,0,1,1,6,3,0,4,0,1,0,1,1,0,1,2,0,0,2,1,4,1,5,0,2,0,5,2,1,0,3,0,1,3,0,0,1,3,1,0,0,1,0,1,0,0,1,0,4,0,0,1,0,0,0,2,0,1,0,2,0,0,1,0,1,2,2,2,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hearty vegan meals for monster appetites lip smacking belly filling home style recipes guaranteed to keep everyone even the meat eaters fantastically full,641.5636,120,1.471762181,0.791666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,2,5,7,6,3,2,6,4,4,2,3,2,1,0,2,5,5,2,2,1,2,2,3,2,2,1,1,3,3,2,1,0,0,1,2,2,1,1,2,0,0,1,1,1,0,0,2,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chinese vegan kitchen more than 225 meat free egg free dairy free dishes from the culinary regions of China,641.5636,120,1.582244135,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,2,5,4,3,3,4,1,1,2,2,5,2,0,1,3,4,2,0,1,3,1,1,1,2,1,1,1,1,4,1,3,2,2,1,0,1,3,2,0,3,1,3,2,1,3,0,1,1,3,4,1,0,3,0,0
wreck of the Medusa the most famous sea disaster of the nineteenth century,910.91637,120,1.763379865,0.826388889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,6,6,10,7,9,4,6,9,2,1,2,2,2,1,2,1,1,1,1,0,0,1,0,2,0,1,0,0,1,2,0,0,2,0,1,0,1,1,3,0,1,1,1,2,3,2,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ready set bag checkout will never be the same,381.45641,120,1.638692981,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,4,3,2,2,4,5,6,4,2,2,4,3,3,3,2,2,1,3,2,1,3,6,1,0,2,1,0,0,2,0,0,1,2,1,0,2,1,2,1,1,1,1,4,2,1,0,0,2,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
Mediterranean light delicious recipes from the worlds healthiest cuisine,641.5635,120,1.117425724,0.805555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,5,3,3,2,4,0,1,2,2,1,1,2,1,3,0,2,1,3,1,0,0,1,2,1,1,4,3,2,3,1,1,0,2,0,0,3,1,2,1,2,1,2,0,1,0,1,1,1,0,3,0,2,0,0,1,2,1,1,2,1,0,3,2,0,2,0,1,1,1,1,0,0,0,0,2,1,0,1,1,0,0,1,0
Entertaining vegetarians,641.5636,120,1.4059308,0.826388889,0,3,3,3,1,9,5,5,1,3,1,3,0,2,2,4,2,1,2,2,1,5,1,2,1,2,1,2,0,0,4,0,3,3,2,0,2,0,2,2,3,3,1,0,0,0,0,0,2,5,1,1,0,0,1,3,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Writing your dissertation in fifteen minutes a day a guide to starting revising and finishing your doctoral thesis,808.06637,120,1.326834395,0.791666667,1,0,0,1,0,0,1,1,0,2,0,0,3,0,0,6,2,3,3,0,2,3,3,4,1,2,0,2,0,0,1,5,0,4,0,0,0,2,3,0,0,2,0,4,0,0,4,2,4,0,2,1,2,5,0,2,5,3,2,1,1,3,2,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kokuhaku,895.636,120,1.809068067,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,1,6,11,2,3,8,1,2,2,0,4,1,6,5,6,0,0,1,2,1,0,2,1,0,0,0,0,1,1,0,1,1,1,0,0,2,0,0,1,1,1,0,1,0,0,0,0,1,1,2,2,1,1,1,0,0,2,2,1,0,1,0,0,0,0,0,0,0,2,0,0,1,2,1,0,0,0,0,1,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0
chefs garden,635,120,1.698529919,0.805555556,1,0,0,2,2,1,0,1,0,0,1,1,0,3,2,5,1,1,0,4,0,1,0,0,3,6,5,2,1,0,3,3,0,3,3,0,7,2,13,5,5,1,1,2,1,0,0,0,1,0,3,0,2,0,3,0,0,0,0,0,1,3,1,0,0,0,0,1,0,1,1,1,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vegetarian table India,641.5636,119,1.368827532,0.8125,1,1,1,2,2,2,2,2,5,3,5,0,1,3,2,0,0,4,6,1,5,3,2,2,2,3,4,0,4,1,1,3,7,3,1,1,2,1,2,2,1,1,0,1,0,0,2,0,1,0,3,0,1,2,0,3,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veganize this from surf turf to ice cream pie 200 animal free recipes for people who love to eat,641.5636,119,1.834855799,0.770833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,4,2,0,2,2,2,1,4,1,1,4,0,0,2,2,2,4,2,2,3,2,2,5,3,4,0,2,0,2,0,1,1,0,1,0,4,1,0,2,1,0,0,1,0,0,0,2,3,2,1,1,1,0,2,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
rice diet solution the world famous low sodium good carb detox diet for quick and lasting weight loss,641.5635,119,1.614089095,0.805555556,0,0,0,0,5,10,7,8,4,2,1,0,3,0,7,2,1,2,1,2,0,4,0,2,3,0,2,1,0,3,1,1,0,2,3,1,3,2,2,0,0,1,3,2,0,2,0,0,2,0,2,0,3,3,1,2,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gardening without work for the aging the busy and the indolent,635,118,1.188339324,0.8125,0,0,0,0,3,0,0,1,0,0,0,0,0,0,2,3,3,0,2,0,1,2,0,0,0,1,2,0,3,3,3,2,0,2,2,3,0,1,2,0,0,0,0,2,0,2,2,3,2,0,3,2,0,4,4,4,0,2,3,2,3,2,0,2,5,2,5,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,2,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vegan casseroles pasta bakes gratins pot pies and more,641.5636,118,1.598306699,0.819444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,5,5,6,7,2,2,2,3,2,2,3,4,4,3,2,4,2,2,2,5,3,0,3,2,3,4,3,5,1,0,1,3,4,4,1
Nobus vegetarian cookbook,641.5636,118,1.351780891,0.819444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,4,6,3,4,4,4,4,2,2,2,4,1,1,2,4,0,3,1,1,1,3,1,1,3,3,2,3,1,0,2,0,2,1,1,0,1,2,2,1,3,0,0,1,2,0,0,2,0,1,2,0,2,1,2,1,1,0,1,1,1,1,0
Green kitchen travels,641.5636,118,1.756716493,0.819444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,5,7,2,8,4,6,6,5,1,1,2,5,5,4,2,1,2,5,2,3,4,1,2,0,4,0,3,1,2,5,3,3,1,1,1,1,1
Trowel error over 700 shortcuts tips remedies for the gardener,635,118,1.170552138,0.8125,1,3,2,2,2,3,3,0,0,3,1,0,1,0,2,1,2,0,1,1,1,4,0,0,2,1,2,4,0,1,1,1,0,0,0,0,1,2,3,1,1,3,0,1,2,1,0,3,1,6,1,0,2,7,1,3,0,0,0,0,1,2,2,2,1,1,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,1,1,1,1,2,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vegetarian bible,641.5636,118,1.299019414,0.819444444,7,2,2,2,0,3,2,1,1,2,3,0,0,4,0,1,2,4,1,4,2,5,3,0,4,1,2,1,1,1,0,1,4,2,1,2,3,2,1,3,3,4,1,4,2,1,1,0,1,2,0,2,0,2,2,0,0,1,1,0,0,1,0,1,3,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robertos new vegan cooking 125 easy delicious and real food recipes,641.5636,117,1.939536207,0.8125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,6,6,7,8,3,5,8,5,4,1,3,4,4,4,4,1,2,1,5,3,2,4,0,0,2,0,1,5,0,3
Kitchen garden planner,635,117,1.397199302,0.798611111,1,4,4,3,7,1,0,4,4,0,0,0,0,1,5,2,2,5,3,4,1,0,1,0,2,3,3,0,2,0,3,0,4,1,0,0,1,0,3,4,3,1,3,0,0,1,0,0,4,2,4,0,2,0,0,0,1,0,0,2,0,0,1,0,0,1,0,1,0,2,0,0,1,0,2,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30 minute vegetarian Thai cookbook,641.5636,117,1.219181072,0.805555556,0,3,3,4,0,1,6,0,2,1,2,0,1,2,1,3,0,4,1,3,1,3,0,1,0,3,0,1,4,0,2,3,0,3,2,1,0,0,2,2,0,3,1,3,1,0,0,0,1,3,0,3,4,2,2,0,0,4,2,1,3,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,2,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vegan gourmet recipes for entertaining 90 imaginative recipes that are perfect for special occasions from sumptuous soups and appetizers to main courses sides and desserts shown in 300 step by step photographs,641.5636,117,1.311427717,0.8125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,6,3,3,2,3,2,4,2,4,2,3,2,2,2,3,3,1,2,5,1,0,2,5,1,4,3,2,0,1,1,1,5,1,2,2,2,2,0,1,2,1,1,2,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
veggie lovers Sriracha cookbook 50 vegan rooster sauce recipes that pack a punch,641.5636,117,1.85475669,0.8125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,6,11,3,7,3,4,3,3,3,4,5,7,1,1,1,2,3,1,1,2,1,0,1,1,1,0,0,3,0,1,2,2,1,2,2,1,0,1,2,0,1,1,0,2,1,0,1,3,1,0,0,0
everyday Ayurveda cookbook a seasonal guide to eating and living well,641.5636,116,1.976355966,0.805555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,7,7,4,7,4,7,6,4,3,5,4,9,7,3,5,3,3,3,4,3,2,1,1
Cook without a book meatless meals recipes and techniques for part time and full time vegetarians,641.5636,116,1.334207173,0.805555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,5,2,4,5,2,3,2,4,3,5,1,1,3,2,2,2,1,1,2,2,0,1,2,1,2,2,0,3,3,3,2,4,2,0,1,1,2,0,1,0,3,2,2,0,2,4,0,2,1,1,0,0,0,1,0,1,2,0,0,0
gardeners bedside reader,635,116,1.462759683,0.763888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,2,4,8,3,6,0,3,2,4,4,4,3,2,4,3,0,1,5,1,4,3,2,2,0,1,1,0,4,0,2,1,2,1,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,5,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
complete idiots guide to being vegetarian,641.5636,116,1.611665299,0.770833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,4,11,3,3,4,5,5,2,2,1,5,3,1,1,7,1,0,1,0,2,3,3,0,0,3,1,2,2,1,1,1,1,0,1,2,0,3,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fusion food in the vegan kitchen 125 comfort food classics reinvented with an ethnic twist,641.5636,116,1.64966562,0.798611111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7,3,4,7,4,5,4,2,3,4,2,1,2,1,2,1,3,4,1,1,1,1,4,2,1,0,2,1,1,0,3,3,1,5,0,3,1,1,2,3,0,2,1,0
Tokyo kitanshu,895.635,116,1.243612272,0.798611111,0,0,0,0,0,0,0,7,4,4,2,3,0,4,0,3,1,2,0,3,0,2,5,5,1,2,3,2,2,3,1,0,2,0,2,2,1,0,0,2,0,3,3,2,0,0,1,0,0,1,3,0,0,1,2,1,1,0,1,0,3,1,0,2,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Silk road cooking a vegetarian journey,641.5636,116,1.339438238,0.805555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,5,4,2,5,3,3,2,0,1,2,4,0,2,2,2,3,2,1,3,1,2,3,1,0,4,2,2,1,1,0,4,3,0,1,0,0,1,2,2,0,1,3,1,1,3,1,1,0,0,2,1,3,0,0,0,0,2,1,1,1,1,2,5,0,0,0
Anna Gettys easy green organic cook well eat well live well,641.5636,115,2.085534967,0.763888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,4,10,4,10,6,1,1,3,3,5,5,0,3,1,1,1,3,0,2,0,1,2,0,1,0,1,1,2,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Down to earth with Helen Dillon,635,115,2.202092933,0.770833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,19,8,5,3,4,1,2,4,1,0,2,0,1,1,1,1,3,0,0,3,0,0,0,0,0,0,5,0,2,1,2,1,0,2,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Uso o mohitotsu dake,895.635,115,1.043628688,0.791666667,1,1,0,0,1,2,1,1,2,2,1,2,0,0,1,2,0,2,1,2,0,2,2,1,2,0,1,1,2,2,3,2,1,2,1,1,0,2,1,3,1,2,0,0,2,1,0,2,0,4,1,2,3,5,4,5,1,3,1,0,2,1,2,2,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Homestead blessings the art of gardening,635,114,1.621473521,0.763888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,4,0,2,2,2,2,2,4,4,1,1,4,3,0,0,4,1,1,1,3,3,3,3,1,3,0,4,1,2,1,0,1,0,0,2,1,1,1,1,1,1,0,1,1,0,2,1,0,1,2,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
Naturally nourished healthy delicious meals made with everyday ingredients,641.5636,114,2.977479574,0.791666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,20,13,6,11,12,11,13,7,7
Easy answers for great gardens 500 tips techniques and outlandish ideas,635,114,1.283127462,0.770833333,1,2,1,2,2,4,2,2,1,3,0,0,0,2,5,2,3,0,3,4,3,0,1,0,2,1,5,2,2,5,0,0,2,0,4,0,0,2,5,2,2,4,2,2,1,0,1,0,0,2,2,3,0,1,0,0,1,1,0,0,0,0,0,3,0,3,0,0,1,0,0,0,1,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dare ka Somebody,895.635,114,1.134248225,0.763888889,3,0,2,3,1,2,3,4,5,2,2,0,1,1,1,2,2,3,3,2,3,2,6,3,2,1,1,2,0,2,1,0,1,1,0,2,1,2,0,0,0,0,0,1,0,3,0,2,2,1,1,4,0,1,0,1,0,1,2,0,1,1,2,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,2,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
