Elements,Times,Dates,Deweys,Titles
"New York N Y Fire Dept",18:38:00,2006-01-09,974,"7 days in September"
"Niska wood carving",20:00:00,2006-01-09,731,"Totem pole carving bringing a log to life"
"Niska wood carving Pictorial works",20:00:00,2006-01-09,731,"Totem pole carving bringing a log to life"
"Municipal water supply Management",12:09:00,2006-01-10,333,"Urban water demand management and planning"
"California Gold discoveries",13:28:00,2006-01-10,979,"age of gold the California Gold Rush and the new American dream"
"California Gold discoveries Social aspects",13:28:00,2006-01-10,979,"age of gold the California Gold Rush and the new American dream"
"California Gold discoveries Juvenile films",14:14:00,2006-01-10,398,"Darlin Clementine"
"California Gold discoveries Juvenile films",14:25:00,2006-01-10,398,"Darlin Clementine"
"San Francisco Earthquake and Fire Calif 1906",14:44:00,2006-01-10,979,"crack in the edge of the world America and the great California earthquake of 1906"
"San Francisco Earthquake and Fire Calif 1906",18:00:00,2006-01-10,363,"San Francisco is burning the untold story of the 1906 earthquake and fires"
"Indian wood carving Northwest Coast of North America Juvenile literature",18:25:00,2006-01-10,745,"bentwood box an activity book for kids from ages 9 12 including adult teaching guides"
"Friendly fire Military science English Channel",18:34:00,2006-01-10,363,"Glenn Millers last flight"
"National Fire Protection Association National Electrical Code 1996",18:37:00,2006-01-10,621,"Stallcups generator transformer and motor book based on the 1996 NEC codes and standards residential commercial and industrial"
"Hot water heating",19:43:00,2006-01-10,697,"Modern hydronic heating for residential and light commercial buildings"
"California Gold discoveries",10:20:00,2006-01-11,979,"saga of old Tuolumne"
"San Francisco Earthquake and Fire Calif 1906",13:23:00,2006-01-11,979,"crack in the edge of the world America and the great California earthquake of 1906"
"California Gold discoveries",13:56:00,2006-01-11,979,"age of gold the California Gold Rush and the new American dream"
"California Gold discoveries Social aspects",13:56:00,2006-01-11,979,"age of gold the California Gold Rush and the new American dream"
"Animal water relationships Juvenile literature",14:22:00,2006-01-11,591,"Animals that walk on water"
"Drinking water Health aspects",15:44:00,2006-01-11,615,"Water the ultimate cure"
"California Gold discoveries Juvenile films",15:54:00,2006-01-11,398,"Darlin Clementine"
"Klondike River Valley Yukon Gold discoveries",16:46:00,2006-01-11,979,"ton of gold the Seattle gold rush 1897 98"
"New York N Y Fire Dept Pictorial works",17:24:00,2006-01-11,628,"Fire in focus an action portfolio photographs"
"California Gold discoveries Juvenile films",19:03:00,2006-01-11,398,"Darlin Clementine"
"Triangle Shirtwaist Company Fire 1911 Juvenile literature",19:14:00,2006-01-11,974,"Triangle Shirtwaist Factory fire"
"Triangle Shirtwaist Company Fire 1911",19:14:00,2006-01-11,974,"Triangle Shirtwaist Factory fire"
"Triangle Shirtwaist Company Fire 1911",19:14:00,2006-01-11,974,"Triangle the fire that changed America"
"Klondike River Valley Yukon Gold discoveries Juvenile literature",19:15:00,2006-01-11,971,"Gold the Klondike adventure"
"Klondike River Valley Yukon Gold discoveries",19:15:00,2006-01-11,971,"Gold the Klondike adventure"
"Klondike River Valley Yukon Gold discoveries Juvenile literature",19:15:00,2006-01-11,971,"Klondike gold rush"
"Klondike River Valley Yukon Gold discoveries",19:15:00,2006-01-11,971,"Klondike gold rush"
"San Francisco Earthquake and Fire Calif 1906 Juvenile literature",19:15:00,2006-01-11,979,"San Francisco earthquake of 1906"
"Halifax Edward Frederick Lindley Wood Earl of 1881 1959",11:48:00,2006-01-12,940,"Five days in London May 1940"
"California Gold discoveries Sources Juvenile literature",13:48:00,2006-01-12,979,"gold rush a primary source history of the search for gold in California"
"California Gold discoveries Sources",13:48:00,2006-01-12,979,"gold rush a primary source history of the search for gold in California"
"White water canoeing",13:55:00,2006-01-12,797,"Path of the paddle"
"San Francisco Earthquake and Fire Calif 1906",15:15:00,2006-01-12,363,"San Francisco is burning the untold story of the 1906 earthquake and fires"
"Klondike River Valley Yukon Gold discoveries",16:45:00,2006-01-12,971,"City of gold"
"Great Fire London England 1666",17:27:00,2006-01-12,942,"Great Fire of London in that apocalyptic year 1666"
"Drinking water Contamination United States",17:47:00,2006-01-12,628,"Dont drink the water without reading this book the essential guide to our contaminated drinking water and what you can do about it"
"Drinking water Purification United States",17:47:00,2006-01-12,628,"Dont drink the water without reading this book the essential guide to our contaminated drinking water and what you can do about it"
"San Francisco Earthquake and Fire Calif 1906",13:21:00,2006-01-13,363,"San Francisco is burning the untold story of the 1906 earthquake and fires"
"Klondike River Valley Yukon Gold discoveries",13:47:00,2006-01-13,971,"Gold fever"
"San Francisco Earthquake and Fire Calif 1906",14:40:00,2006-01-13,979,"crack in the edge of the world America and the great California earthquake of 1906"
"Klondike River Valley Yukon Gold discoveries",15:23:00,2006-01-13,971,"Carmack of the Klondike"
"Drinking water Juvenile literature",16:41:00,2006-01-13,363,"cool drink of water"
"Klondike River Valley Yukon Gold discoveries",17:23:00,2006-01-13,971,"Good time girls of the Alaska Yukon gold rush"
"Alaska Gold discoveries",17:23:00,2006-01-13,971,"Good time girls of the Alaska Yukon gold rush"
"New York N Y Fire Dept",11:13:00,2006-01-14,974,"7 days in September"
"Black Hills S D and Wyo Gold discoveries",11:55:00,2006-01-24,978,"real Deadwood true life histories of Wild Bill Hickock Calamity Jane outlaw towns and other characters of the lawless west"
"Norwegian American wood carving",13:32:00,2006-01-24,736,"Ornamental woodcarving"
"California Gold discoveries Juvenile literature",14:55:00,2006-01-24,979,"Lost in Death Valley the true story of four families in Californias gold rush"
"California Gold discoveries",14:55:00,2006-01-24,979,"Lost in Death Valley the true story of four families in Californias gold rush"
